Id;Refinement;UniqueRefinement;Timestamp;Length;Parent;NumChildren;IsRealizable;IsSatisfiable;IsSolution;TimeRealizabilityCheck;TimeSatisfiabilityCheck;TimeCounterstrategy;CounterstrategyNumStates;TimeRefine;TimeGenerationMethod
6406b9f4-da51-4001-9682-138e20fa94c3;[];[];0.0014297159996203845;0;N/A;5;False;N/A;False;2.8984160870004416;N/A;2.7623505520004983;N/A;0.00015110799904505257;2.311827044000893;
b12b5637-4e07-4b09-9022-e6e42cb3ee1c;['G((!balancer_0 & !balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_1 & !bluetoothCmd_2) -> X(!(!bluetoothCmd_1 & !bluetoothCmd_0 & !bluetoothCmd_2)))'];['G((!balancer_0 & !balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_1 & !bluetoothCmd_2) -> X(!(!bluetoothCmd_1 & !bluetoothCmd_0 & !bluetoothCmd_2)))'];7.976746574999197;1;6406b9f4-da51-4001-9682-138e20fa94c3;1;False;N/A;False;2.7358886060010263;N/A;2.6340237770000385;N/A;0.00014093700156081468;2.3427044569998543;
2f08db23-d4ef-42f0-b384-19cdd779c9b1;['G(F(!(!balancer_0 & !balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_1 & !bluetoothCmd_2) & !(!bluetoothCmd_1 & !balancer_0 & !bluetoothCmd_0 & !bluetoothCmd_2 & !balancer_2) & !(!balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_2 & !balancer_0 & !bluetoothCmd_1) & !(!balancer_2 & !bluetoothCmd_1 & !bluetoothCmd_0 & !balancer_0 & !bluetoothCmd_2)))'];['G(F(!(!balancer_0 & !balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_1 & !bluetoothCmd_2) & !(!bluetoothCmd_1 & !balancer_0 & !bluetoothCmd_0 & !bluetoothCmd_2 & !balancer_2) & !(!balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_2 & !balancer_0 & !bluetoothCmd_1) & !(!balancer_2 & !bluetoothCmd_1 & !bluetoothCmd_0 & !balancer_0 & !bluetoothCmd_2)))'];7.976773555999898;1;6406b9f4-da51-4001-9682-138e20fa94c3;1;False;N/A;False;2.693263012999523;N/A;2.82395067699872;N/A;0.00013779199980490375;2.379776486999617;
f2ba2588-0f54-4f81-877d-3605927ab5a1;['G((!balancer_2 & !bluetoothCmd_1 & !bluetoothCmd_0 & !balancer_0 & !bluetoothCmd_2) -> X(!(!bluetoothCmd_1 & !bluetoothCmd_0 & !bluetoothCmd_2)))'];['G((!balancer_2 & !bluetoothCmd_1 & !bluetoothCmd_0 & !balancer_0 & !bluetoothCmd_2) -> X(!(!bluetoothCmd_1 & !bluetoothCmd_0 & !bluetoothCmd_2)))'];7.976785798999117;1;6406b9f4-da51-4001-9682-138e20fa94c3;1;False;N/A;False;2.764140135999696;N/A;2.6804710479991627;N/A;0.00013395499991020188;2.3404255130008096;
e368f2ec-5143-49b5-92d3-506fdf053db3;['G((!balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_2 & !balancer_0 & !bluetoothCmd_1) -> X(!(!bluetoothCmd_0 & !bluetoothCmd_1 & !bluetoothCmd_2)))'];['G((!balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_2 & !balancer_0 & !bluetoothCmd_1) -> X(!(!bluetoothCmd_0 & !bluetoothCmd_1 & !bluetoothCmd_2)))'];7.976795837999816;1;6406b9f4-da51-4001-9682-138e20fa94c3;1;False;N/A;False;2.686143170001742;N/A;2.7580022100009955;N/A;9.520099956716876e-05;2.263889850000851;
4e322236-6fd3-479c-9a9a-fbccf9b1fec2;['G((!bluetoothCmd_1 & !balancer_0 & !bluetoothCmd_0 & !bluetoothCmd_2 & !balancer_2) -> X(!(!bluetoothCmd_0 & !bluetoothCmd_2 & !bluetoothCmd_1)))'];['G((!bluetoothCmd_1 & !balancer_0 & !bluetoothCmd_0 & !bluetoothCmd_2 & !balancer_2) -> X(!(!bluetoothCmd_0 & !bluetoothCmd_2 & !bluetoothCmd_1)))'];7.976805606998823;1;6406b9f4-da51-4001-9682-138e20fa94c3;1;False;N/A;False;2.6209308840006997;N/A;2.6821106459992734;N/A;0.00014783000005991198;2.375095519999377;
1d7864d9-ffda-4fee-a9ce-2c7f77b51e48;['G((!balancer_0 & !balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_1 & !bluetoothCmd_2) -> X(!(!bluetoothCmd_1 & !bluetoothCmd_0 & !bluetoothCmd_2)))', 'FALSE'];['FALSE', 'G((!balancer_0 & !balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_1 & !bluetoothCmd_2) -> X(!(!bluetoothCmd_1 & !bluetoothCmd_0 & !bluetoothCmd_2)))'];15.691154738999103;2;b12b5637-4e07-4b09-9022-e6e42cb3ee1c;0;True;False;False;2.7466881759992248;2.614032256000428;N/A;N/A;N/A;N/A;
3de29e95-6ead-47a7-a529-083f880ae0eb;['G(F(!(!balancer_0 & !balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_1 & !bluetoothCmd_2) & !(!bluetoothCmd_1 & !balancer_0 & !bluetoothCmd_0 & !bluetoothCmd_2 & !balancer_2) & !(!balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_2 & !balancer_0 & !bluetoothCmd_1) & !(!balancer_2 & !bluetoothCmd_1 & !bluetoothCmd_0 & !balancer_0 & !bluetoothCmd_2)))', 'FALSE'];['FALSE', 'G(F(!(!balancer_0 & !balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_1 & !bluetoothCmd_2) & !(!bluetoothCmd_1 & !balancer_0 & !bluetoothCmd_0 & !bluetoothCmd_2 & !balancer_2) & !(!balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_2 & !balancer_0 & !bluetoothCmd_1) & !(!balancer_2 & !bluetoothCmd_1 & !bluetoothCmd_0 & !balancer_0 & !bluetoothCmd_2)))'];23.590260811999542;2;2f08db23-d4ef-42f0-b384-19cdd779c9b1;0;True;False;False;2.6087528290008777;2.7113583690006635;N/A;N/A;N/A;N/A;
0873f786-5bb5-4e6a-8b62-4110e81af82c;['G((!balancer_2 & !bluetoothCmd_1 & !bluetoothCmd_0 & !balancer_0 & !bluetoothCmd_2) -> X(!(!bluetoothCmd_1 & !bluetoothCmd_0 & !bluetoothCmd_2)))', 'FALSE'];['FALSE', 'G((!balancer_2 & !bluetoothCmd_1 & !bluetoothCmd_0 & !balancer_0 & !bluetoothCmd_2) -> X(!(!bluetoothCmd_1 & !bluetoothCmd_0 & !bluetoothCmd_2)))'];31.378231625998524;2;f2ba2588-0f54-4f81-877d-3605927ab5a1;0;True;False;False;2.695143615001143;2.6184449960001075;N/A;N/A;N/A;N/A;
1553cb6f-6546-4945-8759-1dd4f57162d1;['G((!balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_2 & !balancer_0 & !bluetoothCmd_1) -> X(!(!bluetoothCmd_0 & !bluetoothCmd_1 & !bluetoothCmd_2)))', 'FALSE'];['FALSE', 'G((!balancer_2 & !bluetoothCmd_0 & !bluetoothCmd_2 & !balancer_0 & !bluetoothCmd_1) -> X(!(!bluetoothCmd_0 & !bluetoothCmd_1 & !bluetoothCmd_2)))'];39.08800373599843;2;e368f2ec-5143-49b5-92d3-506fdf053db3;0;True;False;False;2.714107473000695;2.7249986400001944;N/A;N/A;N/A;N/A;
