specification,numRepairs,numVariables,d1,d2,nummaxentropysccs,d3
ColorSortLTL3_689_ColorSort_fixed_unrealizable.spectra,1,27,-inf,0,0,0
ColorSortLTLUnrealizable1_790_ColorSort_unrealizable.spectra,1,22,-inf,0,0,0
ColorSortLTLUnrealizable2_791_ColorSort_unrealizable.spectra,1,26,-inf,0,0,0
GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,5,0.8869880158145603,0.8869880158145603,1,-inf
GyroUnrealizable_Var2_710_GyroAspect_unrealizable.spectra,1,5,1.0,1.0,1,0.9678924870096006
HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1,8,0.9851811478505849,0.9851811478505849,1,-inf
HumanoidLTL_503_Humanoid_fixed_unrealizable.spectra,1,21,0.9441017754532899,0.9441017754532899,1,-inf
HumanoidLTL_531_Humanoid_unrealizable.spectra,1,10,0.9499021657100829,0.9499021657100829,1,-inf
HumanoidLTL_713_Humanoid_unrealizable.spectra,0,0,0,0,0,0
HumanoidLTL_741_Humanoid_unrealizable.spectra,0,0,0,0,0,0
HumanoidLTL_742_Humanoid_unrealizable.spectra,1,15,0.9871704117905946,0.9871704117905946,1,-inf
HumanoidLTL_NotRealizable2_879_Humanoid_unrealizable.spectra,0,0,0,0,0,0
HumanoidLTL_NotRealizable2_884_Humanoid_unrealizable.spectra,0,0,0,0,0,0
