specification,numRepairs,numVariables,d1,d2,nummaxentropysccs,d3
ColorSortLTL3_689_ColorSort_fixed_unrealizable.spectra,0,0,0,0,0,0
ColorSortLTLUnrealizable1_790_ColorSort_unrealizable.spectra,0,0,0,0,0,0
ColorSortLTLUnrealizable2_791_ColorSort_unrealizable.spectra,0,0,0,0,0,0
GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,5,7,1.0,1.0,1,0.16666666666666666
GyroUnrealizable_Var2_710_GyroAspect_unrealizable.spectra,3,8,1.0,1.0,1,0.4678924870096007
HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,0,0,0,0,0,0
HumanoidLTL_503_Humanoid_fixed_unrealizable.spectra,0,0,0,0,0,0
HumanoidLTL_531_Humanoid_unrealizable.spectra,7,14,0.9998780105068662,0.9998780105068662,1,-inf
HumanoidLTL_713_Humanoid_unrealizable.spectra,0,0,0,0,0,0
HumanoidLTL_741_Humanoid_unrealizable.spectra,0,0,0,0,0,0
HumanoidLTL_742_Humanoid_unrealizable.spectra,8,16,-inf,0,0,0
HumanoidLTL_NotRealizable2_879_Humanoid_unrealizable.spectra,0,0,0,0,0,0
HumanoidLTL_NotRealizable2_884_Humanoid_unrealizable.spectra,0,0,0,0,0,0
