Benchmark,Filename,DepthToFirst,DuplicateNodes,Effectiveness,MaxDepth,MinNumVariables,NodesExplored,NodesToFirst,NumFullyNonIOSeparable,NumInterpolantsComputed,NumNonStateSeparable,NumRepairs,NumYUnsat,RefsPerDepth,Runtime,TimeToFirst,TimedOut,TotalTimeCounterstrategy,TotalTimeCounterstrategyComputed,TotalTimeGenerationMethod,UniqueEffectiveness,UniqueNodesExplored,UniqueSols,Runs
AMBA-1,amba02.spectra,1.0,0.1,0.45624527995411207,4.7,1.0,201.9,2.3,0.0,100.7,16.7,73.3,0.0,24.538690476190474,363.51991140619504,0.6222188705840381,0.6,184.0759109501145,187.68744968992252,12.816840149750348,0.45624527995411207,201.9,73.3,10
AMBA-1,amba02_noassumptions.spectra,3.0,0.0,0.06666666666666667,2.4,1.0,7.3,6.0,0.0,5.1,0.0,0.5,0.0,1.646666666666667,2.1260520975287363,2.1330239830446467,0.0,0.9853591962251811,0.9853591962251811,0.29863379208582025,0.06666666666666667,7.3,0.5,10
AMBA-1,amba02_nosafety.spectra,,0.0,0.0,0.7,,8.5,,0.0,6.0,4.2,0.0,0.0,3.15,38.80270557609911,,0.0,31.920709855397945,31.920709855397945,1.2442929231987363,0.0,8.5,0.0,10
AMBA-1,amba02_nosafety0.spectra,2.0,0.0,0.005263157894736842,0.8,4.0,8.5,10.0,0.0,5.6,3.5,0.1,0.0,2.783333333333333,30.811487879200286,46.64357121799912,0.0,23.32483472109925,23.32483472109925,1.2069764276995554,0.005263157894736842,8.5,0.1,10
AMBA-1,amba02_nosafety1.spectra,,0.0,0.0,0.7,,6.6,,0.0,4.4,2.9,0.0,0.0,2.35,14.57089836349951,,0.0,8.271612436500073,8.271612436500073,0.9541683812993142,0.0,6.6,0.0,10
AMBA-1,amba02_nosafety_nofairness.spectra,1.0,0.3,0.48434721079555026,5.7,1.0,177.6,2.2,0.0,87.0,14.2,61.1,0.0,17.363034188034188,318.77581584788857,0.41623157648718917,0.5,251.33626506250584,279.2978285998135,10.013090456032655,0.48434721079555026,177.6,61.1,10
AMBA-1,amba04.spectra,3.0,0.0,0.11166112962748495,5.1,1.0,137.2,16.9,0.0,104.2,7.7,15.6,0.0,19.683333333333334,619.4480730673852,23.962740595385547,1.0,413.8369274553057,441.3460372500849,14.087989630669469,0.11166112962748495,137.2,15.6,10
AMBA-1,amba04_no_safety.spectra,,0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,668.9844983680002,,1.0,0.0,668.9844983680002,0.0,,1.0,0.0,10
AMBA-1,amba04_no_safety_0.spectra,,0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,686.4014447151,,1.0,0.0,686.4014447151,0.0,,1.0,0.0,10
AMBA-1,amba04_noassumptions.spectra,2.0,0.0,0.43036796536796534,2.9,1.0,8.8,5.0,0.0,5.6,0.3,3.2,0.0,2.18,7.133437401489937,4.040614978282247,0.0,1.7464226590294856,1.7464226590294856,0.2721428461169123,0.43036796536796534,8.8,3.2,10
AMBA-1,amba04_nosafety_nofairness.spectra,3.111111111111111,0.0,0.08177440229891068,3.8,1.0,45.8,18.555555555555557,0.0,35.5,1.1,3.7,0.0,8.053333333333333,676.2089272099198,47.73585244479667,1.0,107.84711648407101,653.2680734613765,2.1965000986732757,0.08177440229891068,45.8,3.7,10
AMBA-1,amba08.spectra,,0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,659.680554809104,,1.0,0.0,659.680554809104,0.0,,1.0,0.0,10
AMBA-1,amba08_no_safety.spectra,,0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,708.2271779373084,,1.0,0.0,708.2271779373084,0.0,,1.0,0.0,10
AMBA-1,amba08_no_safety_0.spectra,,0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,838.7707002193841,,1.0,0.0,838.7707002193841,0.0,,1.0,0.0,10
AMBA-1,amba08_noassumptions.spectra,,0.0,0.0,1.0,,2.0,,0.0,1.0,0.0,0.0,0.0,1.0,660.0222469056171,,1.0,0.06064061369688711,656.4844147448894,0.04832286009041123,0.0,2.0,0.0,10
AMBA-1,amba08_nosafety_nofairness.spectra,,0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,659.4349253146968,,1.0,0.0,659.4349253146968,0.0,,1.0,0.0,10
AMBA-2,amba_ahb_w_guar_fairness_amba_ahb_1.spectra,7.0,0.0,0.0171875,3.8,1.0,29.5,18.0,0.1,16.9,1.4,1.1,0.0,3.288333333333333,4.896911187507794,4.340256583993323,0.0,0.9758276972919695,0.9758276972919695,1.2482778906822198,0.0171875,29.5,1.1,10
AMBA-2,amba_ahb_w_guar_fairness_amba_ahb_2.spectra,7.142857142857143,0.3,0.032630499286078904,8.4,1.0,166.8,48.0,0.4,59.8,4.0,12.5,0.0,6.274019607843138,108.62670590590278,41.87843971257929,0.0,17.230746218329294,17.230746218329294,8.474803349241846,0.032630499286078904,166.8,12.5,10
AMBA-2,amba_ahb_w_guar_fairness_amba_ahb_3.spectra,4.555555555555555,0.3,0.038445881742337484,5.8,1.0,101.4,30.88888888888889,0.0,52.9,0.3,3.7,0.0,8.471428571428572,577.4436613839905,156.02747502844431,0.9,312.2244645089464,339.88163661981815,6.063852579009834,0.038445881742337484,101.4,3.7,10
AMBA-2,amba_ahb_w_guar_trans_amba_ahb_1.spectra,,0.0,0.0,1.0,,3.0,,0.0,2.0,0.0,0.0,0.0,1.0,0.36145332918677014,,0.0,0.050541490229079424,0.050541490229079424,0.09889225888473437,0.0,3.0,0.0,10
AMBA-2,amba_ahb_w_guar_trans_amba_ahb_2.spectra,,0.0,0.0,1.0,,3.0,,0.0,2.0,0.0,0.0,0.0,1.0,0.4604636430129176,,0.0,0.059825717355124555,0.059825717355124555,0.09603206910833242,0.0,3.0,0.0,10
AMBA-2,amba_ahb_w_guar_trans_amba_ahb_3.spectra,,0.0,0.0,1.0,,3.0,,0.0,2.0,0.0,0.0,0.0,1.0,0.8111680213100044,,0.0,0.0958570966264232,0.0958570966264232,0.09605285288998847,0.0,3.0,0.0,10
AMBA-2,amba_ahb_wo_ass_fairness_amba_ahb_1.spectra,1.0,0.0,0.33027389277389274,1.1,2.0,9.6,5.625,0.0,6.3,4.4,2.6,0.0,3.8,2.7239976574899627,1.9933264098544896,0.0,0.702490078427945,0.702490078427945,0.9933291962777728,0.33027389277389274,9.6,2.6,10
AMBA-2,amba_ahb_wo_ass_fairness_amba_ahb_2.spectra,1.2,0.0,0.7967261904761905,2.5,1.0,18.1,2.8,0.0,5.0,0.4,12.3,0.0,3.829761904761905,21.853016908056453,6.65893428947893,0.0,15.949447723172488,15.949447723172488,0.3090755514131158,0.7967261904761905,18.1,12.3,10
