Id,Refinement,ElapsedTime,Timestamp,TimestampRealizabilityCheck,Length,Parent,NumChildren,IsYSat,IsRealizable,IsSatisfiable,IsWellSeparated,IsSolution,TimeYSatCheck,TimeRealizabilityCheck,TimeSatisfiabilityCheck,TimeWellSeparationCheck,TimeCounterstrategy,CounterstrategyNumStates,TimeRefine,TimeGenerationMethod,InterpolantComputed,InterpolantIsFalse,NonStateSeparable,NoInterpolant,NumStateComponents,NumNonIoSeparable
359ae8f6-6203-48ba-aa4e-0b7234dec6bb,[],0.1819466779998038,0,0,0,N/A,5,True,False,N/A,N/A,False,0.019588281007600017,0.27030823699897155,N/A,N/A,0.06324721800046973,25,8.458799857180566e-05,0.07650794500659686,True,N/A,N/A,N/A,6,0
ca1c8a17-6797-4c5a-91d3-91fc5988dd24,['G((isReady & !frontDistSense_0) -> X(!(!isReady)))'],0.36499290299252607,0.17935799599217717,0.22671895699750166,1,359ae8f6-6203-48ba-aa4e-0b7234dec6bb,5,True,False,N/A,N/A,False,0.03224949100695085,0.007846133987186477,N/A,N/A,0.051386942010140046,65,9.778799721971154e-05,0.052580636998754926,True,N/A,N/A,N/A,7,0
f026a6bf-c200-4ea8-b74c-ab96cd80d802,['G((!isReady) -> X(!(isReady & !frontDistSense_0)))'],0.5819260589923942,0.17937145600444637,0.40286440700583626,1,359ae8f6-6203-48ba-aa4e-0b7234dec6bb,5,True,False,N/A,N/A,False,0.026800364008522592,0.004367952002212405,N/A,N/A,0.06137412200041581,65,0.00010131299495697021,0.0855285500001628,True,N/A,N/A,N/A,7,0
f482b44c-e427-4f02-8513-ef569833fdac,['G(F(!(isReady & !frontDistSense_0) & !(!isReady)))'],0.7078298959968379,0.17937819399230648,0.616569065998192,1,359ae8f6-6203-48ba-aa4e-0b7234dec6bb,1,True,False,N/A,N/A,False,0.022612147993640974,0.006071049007005058,N/A,N/A,0.024702802998945117,29,8.672299736645073e-05,0.04672659300558735,True,True,N/A,N/A,N/A,N/A
98b7b30f-a17b-4734-9d27-dc1a851efc48,['G((!isReady) -> X(!(!isReady)))'],0.8253256659954786,0.1793840799946338,0.7311443799990229,1,359ae8f6-6203-48ba-aa4e-0b7234dec6bb,5,True,False,N/A,N/A,False,0.013195167994126678,0.005296736999298446,N/A,N/A,0.023894799000117928,27,0.00010512799781281501,0.050507249994552694,True,N/A,N/A,N/A,6,0
81074e6a-22a0-4ddd-9217-57315411f3f4,['!(!isReady)'],0.8458826379937818,0.1793894190050196,N/A,1,359ae8f6-6203-48ba-aa4e-0b7234dec6bb,0,False,N/A,N/A,N/A,N/A,0.014722640000400133,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A
a2adc009-57b1-424c-bb49-934a1301f473,"['G((balancer_0) -> X(!(!isReady)))', 'G((isReady & !frontDistSense_0) -> X(!(!isReady)))']",0.876474121992942,0.3595617190003395,0.8652480479941005,2,ca1c8a17-6797-4c5a-91d3-91fc5988dd24,0,True,True,True,True,True,0.010207034996710718,0.0042721920035546646,0.0047754039987921715,0.005112983999424614,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A
38f6d22d-c88e-4e88-9f22-f2d3d1d0d0e6,"['G((isReady & !frontDistSense_0) -> X(!(!isReady)))', 'G(F(!(balancer_0) & !(!isReady)))']",1.0007501749932999,0.35957957900245674,0.9012301600014325,2,ca1c8a17-6797-4c5a-91d3-91fc5988dd24,1,True,False,N/A,N/A,False,0.014060689994948916,0.0049880919978022575,N/A,N/A,0.031228093008394353,73,9.855699317995459e-05,0.04364907799754292,True,True,N/A,N/A,N/A,N/A
0eed319c-3d7b-4c14-9317-3e94be13d6c1,"['G((!isReady) -> X(!(!isReady)))', 'G((isReady & !frontDistSense_0) -> X(!(!isReady)))']",1.1556276350020198,0.35958688099344727,1.0281227899977239,2,ca1c8a17-6797-4c5a-91d3-91fc5988dd24,4,True,False,N/A,N/A,False,0.01902197700110264,0.0035587879974627867,N/A,N/A,0.04228299000533298,162,9.498099097982049e-05,0.0597556719876593,True,N/A,N/A,N/A,6,0
be5ca170-11b6-4969-8dbd-bf400c99aa2d,"['G(!(!isReady))', 'G((isReady & !frontDistSense_0) -> X(!(!isReady)))']",1.1742017869983101,0.35959449199435767,N/A,2,ca1c8a17-6797-4c5a-91d3-91fc5988dd24,0,False,N/A,N/A,N/A,N/A,0.012380247004330158,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A
e8c4c2d7-25c9-478a-a1e7-a2ffd72a8891,"['!(!isReady)', 'G((isReady & !frontDistSense_0) -> X(!(!isReady)))']",1.1958163859962951,0.35960145300487056,N/A,2,ca1c8a17-6797-4c5a-91d3-91fc5988dd24,0,False,N/A,N/A,N/A,N/A,0.013240541011327878,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A
031ade60-7627-4e77-bf31-634324f38242,"['G((!isReady) -> X(!(isReady & !frontDistSense_0)))', 'G(F(!(!balancer_2) & !(!isReady)))']",1.327743482994265,0.5776931330037769,1.2161852209974313,2,f026a6bf-c200-4ea8-b74c-ab96cd80d802,5,True,False,N/A,N/A,False,0.012519379000877962,0.0028961509960936382,N/A,N/A,0.02930293198733125,73,9.544800559524447e-05,0.059902345994487405,True,N/A,N/A,N/A,8,0
90d5ab03-22ec-4c38-b9ae-02800ef1d506,"['G((!isReady) -> X(!(!isReady)))', 'G((!isReady) -> X(!(isReady & !frontDistSense_0)))']",1.4815176069969311,0.5777116179961013,1.350150077996659,2,f026a6bf-c200-4ea8-b74c-ab96cd80d802,5,True,False,N/A,N/A,False,0.014397118997294456,0.002885112990043126,N/A,N/A,0.051182578987209126,162,0.00010400201426818967,0.05921830699662678,True,N/A,N/A,N/A,8,0
