Id,UniqueRefinement,Timestamp,Length,Parent,NumChildren,IsRealizable,IsSatisfiable,IsWellSeparated,IsSolution,TimeRealizabilityCheck,TimeSatisfiabilityCheck,TimeWellSeparationCheck,TimeCounterstrategy,CounterstrategyNumStates,TimeRefine,TimeGenerationMethod
17aa4c91-a4a6-4340-b675-cdc45f237779,[],0.002089126966893673,0,N/A,6,False,N/A,N/A,False,1.8253538750577718,N/A,N/A,1.799757623928599,33,8.46170587465167e-05,0.0543280600104481
b51b71e9-fba0-4ff9-888b-3cec83f479e7,['G((!bluetoothCmd_0 & !bluetoothCmd_2) -> X(!(!bluetoothCmd_2 & !bluetoothCmd_1 & !bluetoothCmd_0)))'],5.623953550006263,1,17aa4c91-a4a6-4340-b675-cdc45f237779,0,True,True,False,True,1.8438946609385312,1.8202057420276105,1.8620246449718252,N/A,N/A,N/A,N/A
6b8f7489-ef9c-46da-8289-af97a14cf00e,['G((!bluetoothCmd_2 & !balancer_2 & !bluetoothCmd_1 & !bluetoothCmd_0) -> X(!(!bluetoothCmd_2 & !bluetoothCmd_1 & !isReady & !bluetoothCmd_0)))'],5.623967890045606,1,17aa4c91-a4a6-4340-b675-cdc45f237779,0,True,True,False,True,1.955529858940281,1.9046149040805176,1.898179489071481,N/A,N/A,N/A,N/A
b1c95d44-d3b0-4f75-a4eb-ac122f0bff69,['G((!bluetoothCmd_2 & !isReady & !bluetoothCmd_1 & !bluetoothCmd_0) -> X(!(!bluetoothCmd_0 & !bluetoothCmd_2)))'],5.623975377064198,1,17aa4c91-a4a6-4340-b675-cdc45f237779,0,True,True,False,True,1.8001890319865197,1.897376295994036,1.8900317209772766,N/A,N/A,N/A,N/A
bbd180d6-ceaf-4790-be5e-d920af3524b0,['G(F(!(!bluetoothCmd_2 & !bluetoothCmd_1 & !isReady & !bluetoothCmd_0) & !(!bluetoothCmd_2 & !isReady & !bluetoothCmd_1 & !bluetoothCmd_0) & !(!bluetoothCmd_0 & !bluetoothCmd_2) & !(!bluetoothCmd_2 & !balancer_2 & !bluetoothCmd_1 & !bluetoothCmd_0)))'],5.623981990036555,1,17aa4c91-a4a6-4340-b675-cdc45f237779,1,False,N/A,N/A,False,1.8299957900308073,N/A,N/A,1.8588681920664385,41,6.035808473825455e-05,0.033530299086123705
bb216cf2-ab66-43c7-96d9-432cf52c71c3,['G((!bluetoothCmd_2 & !bluetoothCmd_1 & !isReady & !bluetoothCmd_0) -> X(!(!bluetoothCmd_2 & !isReady & !bluetoothCmd_1 & !bluetoothCmd_0)))'],5.6239881250076,1,17aa4c91-a4a6-4340-b675-cdc45f237779,5,False,N/A,N/A,False,1.9132673150161281,N/A,N/A,1.8152103020111099,50,8.994399104267359e-05,0.056901265983469784
c7448696-c8c9-4e3a-a69a-33220a6d2f78,['!(!bluetoothCmd_0 & !bluetoothCmd_2)'],5.623994878958911,1,17aa4c91-a4a6-4340-b675-cdc45f237779,0,True,False,N/A,False,1.8782136949012056,1.8654633370460942,N/A,N/A,N/A,N/A,N/A
cbe91f06-1d70-4363-9994-2ac3b9e604b5,"['FALSE', 'G(F(!(!bluetoothCmd_2 & !bluetoothCmd_1 & !isReady & !bluetoothCmd_0) & !(!bluetoothCmd_2 & !isReady & !bluetoothCmd_1 & !bluetoothCmd_0) & !(!bluetoothCmd_0 & !bluetoothCmd_2) & !(!bluetoothCmd_2 & !balancer_2 & !bluetoothCmd_1 & !bluetoothCmd_0)))']",28.150916410959326,2,bbd180d6-ceaf-4790-be5e-d920af3524b0,0,True,False,N/A,False,1.8621625300729647,1.7627846190007403,N/A,N/A,N/A,N/A,N/A
a8c05a0d-6e79-42ef-a31b-cada84959337,"['G((!bluetoothCmd_2 & !bluetoothCmd_1 & !isReady & !bluetoothCmd_0) -> X(!(!bluetoothCmd_1 & !bluetoothCmd_0 & !bluetoothCmd_2)))', 'G((!bluetoothCmd_2 & !bluetoothCmd_1 & !isReady & !bluetoothCmd_0) -> X(!(!bluetoothCmd_2 & !isReady & !bluetoothCmd_1 & !bluetoothCmd_0)))']",33.870140427025035,2,bb216cf2-ab66-43c7-96d9-432cf52c71c3,0,True,True,False,True,1.8684461920056492,1.9468629059847444,1.8214455080451444,N/A,N/A,N/A,N/A
0944cdb2-32f0-487b-8dfe-9b02d8721221,"['G((!balancer_2 & !bluetoothCmd_1 & !bluetoothCmd_2 & !bluetoothCmd_0) -> X(!(!bluetoothCmd_2 & !bluetoothCmd_1 & !isReady & !bluetoothCmd_0)))', 'G((!bluetoothCmd_2 & !bluetoothCmd_1 & !isReady & !bluetoothCmd_0) -> X(!(!bluetoothCmd_2 & !isReady & !bluetoothCmd_1 & !bluetoothCmd_0)))']",33.870159493992105,2,bb216cf2-ab66-43c7-96d9-432cf52c71c3,0,True,True,False,True,1.8531692600809038,1.8919876859290525,1.8442952929763123,N/A,N/A,N/A,N/A
