System,Specification,NodesExplored,NumRepairs,MinNumVariables,MaxNumVariables,MinNumAssumptions,MaxNumAssumptions,Repaired
ColorSort,ColorSortLTL3_689_ColorSort_fixed_unrealizable,1,0,,,,,False
ColorSort,ColorSortLTLUnrealizable1_790_ColorSort_unrealizable,1,0,,,,,False
ColorSort,ColorSortLTLUnrealizable2_791_ColorSort_unrealizable,2,0,,,,,False
Gyro,GyroUnrealizable_Var1_710_GyroAspect_unrealizable,2,1,2.0,2.0,1.0,1.0,True
Gyro,GyroUnrealizable_Var2_710_GyroAspect_unrealizable,2,1,1.0,1.0,1.0,1.0,True
Humanoid,HumanoidLTL_458_Humanoid_fixed_unrealizable,1,0,,,,,False
Humanoid,HumanoidLTL_503_Humanoid_fixed_unrealizable,4,0,,,,,False
Humanoid,HumanoidLTL_531_Humanoid_unrealizable,2,1,1.0,1.0,1.0,1.0,True
Humanoid,HumanoidLTL_713_Humanoid_unrealizable,1,0,,,,,False
Humanoid,HumanoidLTL_741_Humanoid_unrealizable,2,1,1.0,1.0,1.0,1.0,True
Humanoid,HumanoidLTL_742_Humanoid_unrealizable,10,2,1.0,2.0,1.0,2.0,True
Humanoid,HumanoidLTL_NotRealizable2_879_Humanoid_unrealizable,1,0,,,,,False
Humanoid,HumanoidLTL_NotRealizable2_884_Humanoid_unrealizable,1,0,,,,,False
PCar,PCarLTL_Unrealizable_V_2_unrealizable0_888_PCar_fixed_unrealizable,3,0,,,,,False
