Benchmark,Filename,NumRepairs,TimeToFirst,Runtime,NodesExplored,Runs
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1.0,8.0,8.0,1.0,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1.0,8.0,8.0,1.0,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1.0,7.0,7.0,1.0,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1.0,8.0,8.0,1.0,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1.0,6.0,6.0,1.0,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE5.spectra,1.0,8.0,8.0,1.0,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS1.spectra,1.0,7.0,7.0,1.0,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS2.spectra,1.0,8.0,8.0,1.0,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS3.spectra,1.0,8.0,8.0,1.0,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS4.spectra,1.0,7.0,7.0,1.0,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS5.spectra,1.0,7.0,7.0,1.0,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1.0,7.0,7.0,1.0,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE1.spectra,1.0,7.0,7.0,1.0,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE2.spectra,1.0,6.0,6.0,1.0,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE3.spectra,1.0,7.0,7.0,1.0,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE4.spectra,1.0,6.0,6.0,1.0,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE5.spectra,1.0,7.0,7.0,1.0,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS1.spectra,1.0,7.0,7.0,1.0,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS2.spectra,1.0,6.0,6.0,1.0,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS3.spectra,1.0,7.0,7.0,1.0,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS4.spectra,1.0,6.0,6.0,1.0,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS5.spectra,1.0,7.0,7.0,1.0,10
addedVarsLift,inputs-scalability/addedVarsLift/Lift.spectra,1.0,8.0,8.0,1.0,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftE1.spectra,1.0,8.0,8.0,1.0,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftE2.spectra,1.0,8.0,8.0,1.0,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftE3.spectra,1.0,8.0,8.0,1.0,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftE4.spectra,1.0,10.0,10.0,1.0,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftE5.spectra,1.0,9.0,9.0,1.0,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftS1.spectra,1.0,8.0,8.0,1.0,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftS2.spectra,1.0,8.0,8.0,1.0,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftS3.spectra,1.0,8.0,8.0,1.0,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftS4.spectra,1.0,8.0,8.0,1.0,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftS5.spectra,1.0,8.0,8.0,1.0,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1.spectra,1.0,6.0,6.0,1.0,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1E1.spectra,1.0,7.0,7.0,1.0,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1E2.spectra,1.0,6.0,6.0,1.0,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1E3.spectra,1.0,6.0,6.0,1.0,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1E4.spectra,1.0,6.0,6.0,1.0,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1E5.spectra,1.0,6.0,6.0,1.0,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1S1.spectra,1.0,7.0,7.0,1.0,10
