Benchmark,Run,Filename,NumRepairs,RepairLimit,TimeToFirst,Runtime,Timeout,TimedOut,NodesExplored
addedVarsGyro_Var1,1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.009,0.009,10,False,1
addedVarsGyro_Var1,2,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.008,0.008,10,False,1
addedVarsGyro_Var1,3,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,4,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.006,0.006,10,False,1
addedVarsGyro_Var1,5,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,6,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,7,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.011,0.011,10,False,1
addedVarsGyro_Var1,8,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,9,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,10,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.008,0.008,10,False,1
addedVarsGyro_Var1,1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.008,0.008,10,False,1
addedVarsGyro_Var1,2,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.01,0.01,10,False,1
addedVarsGyro_Var1,3,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.01,0.01,10,False,1
addedVarsGyro_Var1,4,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.009,0.009,10,False,1
addedVarsGyro_Var1,5,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.008,0.008,10,False,1
addedVarsGyro_Var1,6,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.006,0.006,10,False,1
addedVarsGyro_Var1,7,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.008,0.008,10,False,1
addedVarsGyro_Var1,8,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,9,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,10,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.006,0.006,10,False,1
addedVarsGyro_Var1,1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,0.006,0.006,10,False,1
addedVarsGyro_Var1,2,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,0.009,0.009,10,False,1
addedVarsGyro_Var1,3,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,0.006,0.006,10,False,1
addedVarsGyro_Var1,4,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,5,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,6,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,7,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,8,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,0.006,0.006,10,False,1
addedVarsGyro_Var1,9,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,0.01,0.01,10,False,1
addedVarsGyro_Var1,10,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,2,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.008,0.008,10,False,1
addedVarsGyro_Var1,3,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.006,0.006,10,False,1
addedVarsGyro_Var1,4,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.011,0.011,10,False,1
addedVarsGyro_Var1,5,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,6,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.008,0.008,10,False,1
addedVarsGyro_Var1,7,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.009,0.009,10,False,1
addedVarsGyro_Var1,8,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,9,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.009,0.009,10,False,1
addedVarsGyro_Var1,10,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.01,0.01,10,False,1
addedVarsGyro_Var1,1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.006,0.006,10,False,1
addedVarsGyro_Var1,2,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.008,0.008,10,False,1
addedVarsGyro_Var1,3,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,4,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.006,0.006,10,False,1
addedVarsGyro_Var1,5,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.005,0.005,10,False,1
addedVarsGyro_Var1,6,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.006,0.006,10,False,1
addedVarsGyro_Var1,7,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.006,0.006,10,False,1
addedVarsGyro_Var1,8,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.006,0.006,10,False,1
addedVarsGyro_Var1,9,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.007,0.007,10,False,1
addedVarsGyro_Var1,10,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1,1,0.006,0.006,10,False,1
