Benchmark,Run,Filename,NumRepairs,RepairLimit,TimeToFirst,Runtime,Timeout,TimedOut,NodesExplored,Effectiveness
addedVarsGyro_Var1,1,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.08,0.08,600,False,5,0.2
addedVarsGyro_Var1,2,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.102,0.103,600,False,5,0.2
addedVarsGyro_Var1,3,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.115,0.116,600,False,5,0.2
addedVarsGyro_Var1,4,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.1,0.1,600,False,5,0.2
addedVarsGyro_Var1,5,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.078,0.078,600,False,5,0.2
addedVarsGyro_Var1,6,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.077,0.078,600,False,5,0.2
addedVarsGyro_Var1,7,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.079,0.08,600,False,5,0.2
addedVarsGyro_Var1,8,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.082,0.082,600,False,5,0.2
addedVarsGyro_Var1,9,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.104,0.104,600,False,5,0.2
addedVarsGyro_Var1,10,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1,1,0.102,0.103,600,False,5,0.2
addedVarsGyro_Var1,1,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.14,0.14,600,False,9,0.1111111111111111
addedVarsGyro_Var1,2,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.162,0.162,600,False,9,0.1111111111111111
addedVarsGyro_Var1,3,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.155,0.155,600,False,9,0.1111111111111111
addedVarsGyro_Var1,4,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.148,0.148,600,False,9,0.1111111111111111
addedVarsGyro_Var1,5,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.17,0.17,600,False,9,0.1111111111111111
addedVarsGyro_Var1,6,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.165,0.165,600,False,9,0.1111111111111111
addedVarsGyro_Var1,7,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.145,0.146,600,False,9,0.1111111111111111
addedVarsGyro_Var1,8,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.187,0.187,600,False,9,0.1111111111111111
addedVarsGyro_Var1,9,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.145,0.145,600,False,9,0.1111111111111111
addedVarsGyro_Var1,10,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1,1,0.17,0.17,600,False,9,0.1111111111111111
addedVarsGyro_Var1,1,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,3.066,3.067,600,False,125,0.008
addedVarsGyro_Var1,2,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,3.21,3.211,600,False,125,0.008
addedVarsGyro_Var1,3,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,3.186,3.187,600,False,125,0.008
addedVarsGyro_Var1,4,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,3.633,3.633,600,False,125,0.008
addedVarsGyro_Var1,5,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,4.185,4.185,600,False,125,0.008
addedVarsGyro_Var1,6,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,3.026,3.027,600,False,125,0.008
addedVarsGyro_Var1,7,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,3.64,3.641,600,False,125,0.008
