Id,UniqueRefinement,Runtime,IsSolution
3fdd8b8b-9ffe-4e97-b125-8113d671eb8a,['G(c -> !v)'],228,True
ca2626dd-e72f-4417-92d3-e9f7e31d0218,['G(c -> !v)'],228,True
e225afdd-2974-4166-972b-fa01d8b90c75,"['G(!r -> (c -> !v))', 'G(r -> (c -> !v))']",228,True
bb37b6be-73f7-491e-96a1-7f95d245f7be,['G(F(!c -> g) & (c -> v))'],228,True
3da4895b-929c-4b9a-a8e5-001a02410c76,['G(!c -> (X(c) -> g)) & (c -> (X(c) -> v))'],228,True
d9b3ef53-36bf-4187-b7d3-c3384a206f6f,['G(c -> !v)'],228,True
c2bad527-ad7f-476b-a74b-7fc36c409949,"['G(F(!r -> (!c -> g) & (c -> v)))', 'G(!r -> (c -> (X(c) -> v))) & (r -> (!c -> (X(c) -> g)))', 'G(!r -> (X(r) -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v)))) & (r -> (X(r) -> (c -> (X(c) -> v))))']",228,True
6526bcb2-1671-4fd2-b48d-5df76ff9ca3a,['G(c -> !v)'],228,True
5d6713d5-cefc-44b4-bfdf-6b51d52151df,"['G(F(!r -> (!c -> g) & (c -> v)))', 'G(r -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v)))', 'G(!r -> (X(!(r)) -> (c -> (X(!(c)) -> v))) & (X(r) -> (c -> (X(c) -> v)))) & (r -> (X(!(r)) -> (c -> (X(!(c)) -> (!g -> v)))) & (X(r) -> (c -> (X(c) -> (!g -> v)))))']",228,True
e469bfc4-d8af-4c03-866a-f925178a8904,"['G(F(!r -> (!c -> g) & (c -> v)))', 'G(r -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v)))', 'G(!r -> (!c -> (X(c) -> g))) & (r -> (c -> (X(c) -> v)))']",228,True
0f0f5246-f076-4a1e-8c11-e51154a363a9,['G(c -> !v)'],228,True
489e35a5-7f19-4f47-b8c2-1fe8b55bd7b5,"['G(!r -> (c -> !v))', 'G(r -> (X(!(r)) -> (c -> (X(!(c)) -> (!g -> v)))) & (X(r) -> (c -> (!g -> v))))']",228,True
6b63dfc7-8d65-4681-8551-37b831a9867d,"['G(F(!r -> (!c -> g)) & (r -> (!c -> g) & (c -> v)))', 'G(!r -> (c -> !v))']",228,True
71163e7a-2405-443f-bf54-709bae66d919,"['G(!r -> (c -> !v))', 'G(!r -> (X(r) -> (!c -> (X(c) -> g)))) & (r -> (X(r) -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v))))']",228,True
d5efe92e-23de-4890-97ea-2d37e0945240,"['G(!r -> (c -> !v))', 'G(r -> (c -> !v))']",228,True
54c63f8b-0dcb-4470-bd71-421fe298278e,"['G(F(!r -> (!c -> g)) & (r -> (c -> v)))', 'G(!r -> (c -> !v))', 'G(r -> (X(r) -> (c -> (!g -> v))))']",228,True
f3f7d358-3a01-4f44-9f97-d7d6d3906da3,"['G(F(!r -> (!c -> g)) & (r -> (c -> v)))', 'G(!r -> (c -> !v))', 'G(r -> (X(r) -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v))))']",228,True
9a3a0b0f-deb5-4d5e-b969-1a3d574d1efd,"['G(!r -> (c -> !v))', 'G(r -> (c -> !v))']",228,True
fbd7a96c-c27f-4d56-9223-29908c35b19d,"['G(!r -> (c -> !v))', 'G(!r -> (X(r) -> (!c -> (X(c) -> g)))) & (r -> (X(r) -> (c -> (X(c) -> v))))', 'G(r -> (X(r) -> (c -> (!g -> v))))']",228,True
68e4a070-2f4a-4bca-b6a3-9395e2c036a4,"['G(F(r -> (!c -> g) & (c -> v)))', 'G(!r -> (c -> !v))', 'G(!r -> (X(r) -> (!c -> (X(c) -> g)))) & (r -> (X(r) -> (c -> (X(c) -> v))))']",228,True
595b1202-2c1c-459f-86fd-87f3bc3f44e5,"['G(!r -> (c -> !v))', 'G(!r -> (X(r) -> (!c -> (X(c) -> g)))) & (r -> (X(r) -> (c -> (X(c) -> v))))', 'G(r -> (X(r) -> (!c -> (X(c) -> g)) & (c -> (X(c) -> v))))']",228,True
6e86093e-2b44-4c3c-b146-13393d53fe7b,"['G(!r -> (c -> !v))', 'G(r -> (c -> !v))']",228,True
