Benchmark,Filename,DepthToFirst,Effectiveness,MaxDepth,NodesExplored,NodesToFirst,NumRepairs,NumYUnsat,RefsPerDepth,Runtime,TimeToFirst,UniqueEffectiveness,UniqueNodesExplored,UniqueSols,Runs
SYNTECH15-UNREAL,GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1.0,0.75,3.0,20.0,5.0,15.0,0.0,5.0,0.13740000000000002,0.0911,0.5833333333333334,12.0,7.0,10
SYNTECH15-UNREAL,GyroUnrealizable_Var2_710_GyroAspect_unrealizable.spectra,1.0,0.7272727272727273,8.0,33.0,3.0,24.0,1.0,3.6666666666666665,0.30460000000000004,0.0708,0.5714285714285714,21.0,12.0,10
SYNTECH15-UNREAL,HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1.0,0.5,1.0,2.0,2.0,1.0,0.0,1.0,0.0187,0.0183,0.5,2.0,1.0,10
SYNTECH15-UNREAL,HumanoidLTL_531_Humanoid_unrealizable.spectra,1.0,0.5787974058965937,4.8,1760.5,5.0,1042.2,0.0,295.6633333333333,554.6799,0.49770000000000003,0.06340408805031447,98.8,6.0,10
SYNTECH15-UNREAL,HumanoidLTL_713_Humanoid_unrealizable.spectra,,0.0,27.0,29.0,,0.0,0.0,1.0,0.4077,-0.001,0.0,28.0,0.0,10
SYNTECH15-UNREAL,HumanoidLTL_742_Humanoid_unrealizable.spectra,1.0,0.75,1.0,4.0,2.0,3.0,0.0,2.0,0.10469999999999999,0.0664,0.75,4.0,3.0,10
SYNTECH15-UNREAL,HumanoidLTL_NotRealizable2_879_Humanoid_unrealizable.spectra,,0.0,27.0,29.0,,0.0,0.0,1.0,0.38730000000000003,-0.001,0.0,28.0,0.0,10
SYNTECH15-UNREAL,HumanoidLTL_NotRealizable2_884_Humanoid_unrealizable.spectra,,0.0,27.0,29.0,,0.0,0.0,1.0,0.4948,-0.001,0.0,28.0,0.0,10
SYNTECH15-UNREAL,PCarLTL_Unrealizable_V_2_unrealizable0_888_PCar_fixed_unrealizable.spectra,1.0,0.442572741194487,13.0,653.0,5.0,289.0,154.0,46.642857142857146,94.5581,0.1317,0.27054108216432865,499.0,135.0,10
SIMPLE,LGS.spectra,1.0,0.5,1.0,2.0,2.0,1.0,0.0,1.0,0.0167,0.016300000000000002,0.5,2.0,1.0,10
SIMPLE,Lift.spectra,1.0,0.8214285714285714,14.0,980.0,4.0,805.0,7.0,65.33333333333333,5.4818,0.0393,0.5580808080808081,396.0,221.0,10
SIMPLE,RG.spectra,1.0,0.7,2.0,10.0,4.0,7.0,0.0,3.3333333333333335,0.032,0.0259,0.5714285714285714,7.0,4.0,10
SIMPLE,RG1.spectra,2.0,0.7514285714285714,7.0,350.0,9.0,263.0,0.0,43.75,0.8362,0.048799999999999996,0.5735294117647058,204.0,117.0,10
SIMPLE,RG2.spectra,3.0,0.6521739130434783,3.0,23.0,9.0,15.0,0.0,5.75,0.0685,0.047799999999999995,0.6,20.0,12.0,10
SYNTECH15-1UNREAL,ColorSortLTL2TAG_789_ColorSort_1.spectra,,0.0,4.0,133.3,,0.0,0.0,26.619999999999997,658.7781,-0.001,0.0,133.1,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL2TAG_789_ColorSort_2.spectra,,0.0,3.1,170.9,,0.0,0.0,41.44,653.5899,-0.001,0.0,153.4,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL2TAG_789_ColorSort_3.spectra,,0.0,4.5,154.9,,0.0,0.0,27.993333333333332,650.4032,-0.001,0.0,154.6,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL2_621_ColorSort_fixed_1.spectra,,0.0,485.9,868.8,,0.0,0.0,1.784133563177597,633.6850000000001,-0.001,0.0,868.7,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL2_794_ColorSort_fixed_1.spectra,,0.0,486.0,911.3,,0.0,0.0,1.8696098562628336,653.2265,-0.001,0.0,910.5,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3TAG_787_ColorSort_1.spectra,,0.0,5.0,259.2,,0.0,0.0,43.11666666666667,646.0064,-0.001,0.0,258.7,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3TAG_787_ColorSort_2.spectra,,0.0,4.0,393.1,,0.0,0.0,78.47999999999999,660.0023,-0.001,0.0,375.4,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3TAG_787_ColorSort_3.spectra,,0.0,5.0,324.6,,0.0,0.0,54.016666666666666,660.0024,-0.001,0.0,324.1,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_621_ColorSort_fixed_1.spectra,,0.0,964.7,1126.5,,0.0,0.0,1.1658741243737865,653.1074,-0.001,0.0,1125.9,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_646_ColorSort_fixed_1.spectra,,0.0,6.0,906.4,,0.0,0.0,129.37142857142857,658.2008,-0.001,0.0,901.5,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_662_ColorSort_fixed_1.spectra,360.0,0.002770083102493075,360.0,361.0,361.0,1.0,0.0,1.0,11.2665,11.266200000000001,0.002770083102493075,361.0,1.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_674_ColorSort_fixed_1.spectra,,0.0,3.0,321.0,,0.0,0.0,80.1,660.0020999999999,-0.001,0.0,312.4,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_674_ColorSort_fixed_2.spectra,,0.0,2.3,173.2,,0.0,0.0,52.166666666666664,651.5872999999999,-0.001,0.0,172.9,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_675_ColorSort_fixed_1.spectra,,0.0,2.0,112.1,,0.0,0.0,37.3,660.0022,-0.001,0.0,111.9,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_675_ColorSort_fixed_2.spectra,,0.0,2.0,93.4,,0.0,0.0,31.0,655.4703,-0.001,0.0,93.0,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_678_ColorSort_fixed_1.spectra,,0.0,2.0,111.9,,0.0,0.0,37.266666666666666,660.0022,-0.001,0.0,111.8,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_678_ColorSort_fixed_2.spectra,,0.0,2.0,81.7,,0.0,0.0,27.166666666666668,624.8255,-0.001,0.0,81.5,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_679_ColorSort_fixed_1.spectra,,0.0,3.0,96.9,,0.0,0.0,24.15,660.0020999999999,-0.001,0.0,96.6,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_679_ColorSort_fixed_2.spectra,,0.0,5.5,385.7,,0.0,0.0,58.63809523809524,658.7004,-0.001,0.0,384.8,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_681_ColorSort_fixed_1.spectra,,0.0,3.0,97.7,,0.0,0.0,24.225,660.0026,-0.001,0.0,96.8,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_681_ColorSort_fixed_2.spectra,,0.0,5.3,333.1,,0.0,0.0,52.30952380952381,631.0600000000001,-0.001,0.0,332.6,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_682_ColorSort_fixed_1.spectra,,0.0,3.0,110.3,,0.0,0.0,27.35,656.1773000000001,-0.001,0.0,108.5,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_682_ColorSort_fixed_2.spectra,,0.0,60.0,61.0,,0.0,1.0,1.0,89.9496,-0.001,0.0,61.0,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_682_ColorSort_fixed_3.spectra,,0.0,2.0,12.0,,0.0,0.0,4.0,660.0024,-0.001,0.0,12.0,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_687_ColorSort_fixed_1.spectra,,0.0,3.0,114.3,,0.0,0.0,28.35,660.0022,-0.001,0.0,112.4,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_687_ColorSort_fixed_2.spectra,,0.0,60.0,61.0,,0.0,1.0,1.0,78.0116,-0.001,0.0,61.0,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_687_ColorSort_fixed_3.spectra,,0.0,3.0,187.7,,0.0,0.0,46.775,656.7689,-0.001,0.0,180.0,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_687_ColorSort_fixed_4.spectra,,0.0,3.0,37.0,,0.0,0.0,9.25,660.0022,-0.001,0.0,37.0,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_688_ColorSort_fixed_1.spectra,,0.0,3.0,45.0,,0.0,0.0,11.25,660.0024,-0.001,0.0,45.0,0.0,10
SYNTECH15-1UNREAL,ColorSortLTL3_688_ColorSort_fixed_2.spectra,,0.0,4.0,137.5,,0.0,0.0,27.439999999999998,660.002,-0.001,0.0,137.2,0.0,10
