Benchmark,Run,Filename,NumRepairs,RepairLimit,TimeToFirst,Runtime,Timeout,TimedOut,NodesExplored,UniqueNodesExplored,UniqueSols,Effectiveness,UniqueEffectiveness,NodesToFirst,DepthToFirst,NumYUnsat,NumYUnsatNoFalse,MinNumVariables
SIMPLE,1,inputs/SIMPLE/LGS.spectra,1,-1,0.028,0.029,600,False,2,2,1,0.5,0.5,2.0,1.0,0,0,2.0
SIMPLE,2,inputs/SIMPLE/LGS.spectra,1,-1,0.014,0.014,600,False,2,2,1,0.5,0.5,2.0,1.0,0,0,2.0
SIMPLE,3,inputs/SIMPLE/LGS.spectra,1,-1,0.02,0.02,600,False,2,2,1,0.5,0.5,2.0,1.0,0,0,2.0
SIMPLE,4,inputs/SIMPLE/LGS.spectra,1,-1,0.016,0.016,600,False,2,2,1,0.5,0.5,2.0,1.0,0,0,2.0
SIMPLE,5,inputs/SIMPLE/LGS.spectra,1,-1,0.013,0.014,600,False,2,2,1,0.5,0.5,2.0,1.0,0,0,2.0
SIMPLE,6,inputs/SIMPLE/LGS.spectra,1,-1,0.015,0.015,600,False,2,2,1,0.5,0.5,2.0,1.0,0,0,2.0
SIMPLE,7,inputs/SIMPLE/LGS.spectra,1,-1,0.015,0.015,600,False,2,2,1,0.5,0.5,2.0,1.0,0,0,2.0
SIMPLE,8,inputs/SIMPLE/LGS.spectra,1,-1,0.015,0.016,600,False,2,2,1,0.5,0.5,2.0,1.0,0,0,2.0
SIMPLE,9,inputs/SIMPLE/LGS.spectra,1,-1,0.014,0.015,600,False,2,2,1,0.5,0.5,2.0,1.0,0,0,2.0
SIMPLE,10,inputs/SIMPLE/LGS.spectra,1,-1,0.013,0.013,600,False,2,2,1,0.5,0.5,2.0,1.0,0,0,2.0
SIMPLE,1,inputs/SIMPLE/Lift.spectra,805,-1,0.039,5.447,600,False,980,396,221,0.8214285714285714,0.5580808080808081,4.0,1.0,7,7,6.0
SIMPLE,2,inputs/SIMPLE/Lift.spectra,805,-1,0.036,5.426,600,False,980,396,221,0.8214285714285714,0.5580808080808081,4.0,1.0,7,7,6.0
SIMPLE,3,inputs/SIMPLE/Lift.spectra,805,-1,0.041,5.314,600,False,980,396,221,0.8214285714285714,0.5580808080808081,4.0,1.0,7,7,6.0
SIMPLE,4,inputs/SIMPLE/Lift.spectra,805,-1,0.041,5.358,600,False,980,396,221,0.8214285714285714,0.5580808080808081,4.0,1.0,7,7,6.0
SIMPLE,5,inputs/SIMPLE/Lift.spectra,805,-1,0.036,5.358,600,False,980,396,221,0.8214285714285714,0.5580808080808081,4.0,1.0,7,7,6.0
SIMPLE,6,inputs/SIMPLE/Lift.spectra,805,-1,0.034,5.37,600,False,980,396,221,0.8214285714285714,0.5580808080808081,4.0,1.0,7,7,6.0
SIMPLE,7,inputs/SIMPLE/Lift.spectra,805,-1,0.035,5.34,600,False,980,396,221,0.8214285714285714,0.5580808080808081,4.0,1.0,7,7,6.0
SIMPLE,8,inputs/SIMPLE/Lift.spectra,805,-1,0.041,5.277,600,False,980,396,221,0.8214285714285714,0.5580808080808081,4.0,1.0,7,7,6.0
SIMPLE,9,inputs/SIMPLE/Lift.spectra,805,-1,0.042,6.247,600,False,980,396,221,0.8214285714285714,0.5580808080808081,4.0,1.0,7,7,6.0
SIMPLE,10,inputs/SIMPLE/Lift.spectra,805,-1,0.048,5.681,600,False,980,396,221,0.8214285714285714,0.5580808080808081,4.0,1.0,7,7,6.0
SIMPLE,1,inputs/SIMPLE/RG.spectra,7,-1,0.021,0.026,600,False,10,7,4,0.7,0.5714285714285714,4.0,1.0,0,0,2.0
SIMPLE,2,inputs/SIMPLE/RG.spectra,7,-1,0.024,0.029,600,False,10,7,4,0.7,0.5714285714285714,4.0,1.0,0,0,2.0
SIMPLE,3,inputs/SIMPLE/RG.spectra,7,-1,0.026,0.031,600,False,10,7,4,0.7,0.5714285714285714,4.0,1.0,0,0,2.0
SIMPLE,4,inputs/SIMPLE/RG.spectra,7,-1,0.027,0.032,600,False,10,7,4,0.7,0.5714285714285714,4.0,1.0,0,0,2.0
SIMPLE,5,inputs/SIMPLE/RG.spectra,7,-1,0.032,0.041,600,False,10,7,4,0.7,0.5714285714285714,4.0,1.0,0,0,2.0
SIMPLE,6,inputs/SIMPLE/RG.spectra,7,-1,0.022,0.027,600,False,10,7,4,0.7,0.5714285714285714,4.0,1.0,0,0,2.0
SIMPLE,7,inputs/SIMPLE/RG.spectra,7,-1,0.024,0.03,600,False,10,7,4,0.7,0.5714285714285714,4.0,1.0,0,0,2.0
SIMPLE,8,inputs/SIMPLE/RG.spectra,7,-1,0.023,0.028,600,False,10,7,4,0.7,0.5714285714285714,4.0,1.0,0,0,2.0
SIMPLE,9,inputs/SIMPLE/RG.spectra,7,-1,0.031,0.04,600,False,10,7,4,0.7,0.5714285714285714,4.0,1.0,0,0,2.0
SIMPLE,10,inputs/SIMPLE/RG.spectra,7,-1,0.029,0.036,600,False,10,7,4,0.7,0.5714285714285714,4.0,1.0,0,0,2.0
SIMPLE,1,inputs/SIMPLE/RG1.spectra,263,-1,0.042,0.758,600,False,350,204,117,0.7514285714285714,0.5735294117647058,9.0,2.0,0,0,2.0
SIMPLE,2,inputs/SIMPLE/RG1.spectra,263,-1,0.043,0.811,600,False,350,204,117,0.7514285714285714,0.5735294117647058,9.0,2.0,0,0,2.0
SIMPLE,3,inputs/SIMPLE/RG1.spectra,263,-1,0.046,0.774,600,False,350,204,117,0.7514285714285714,0.5735294117647058,9.0,2.0,0,0,2.0
SIMPLE,4,inputs/SIMPLE/RG1.spectra,263,-1,0.059,0.864,600,False,350,204,117,0.7514285714285714,0.5735294117647058,9.0,2.0,0,0,2.0
SIMPLE,5,inputs/SIMPLE/RG1.spectra,263,-1,0.055,0.783,600,False,350,204,117,0.7514285714285714,0.5735294117647058,9.0,2.0,0,0,2.0
SIMPLE,6,inputs/SIMPLE/RG1.spectra,263,-1,0.06,0.908,600,False,350,204,117,0.7514285714285714,0.5735294117647058,9.0,2.0,0,0,2.0
SIMPLE,7,inputs/SIMPLE/RG1.spectra,263,-1,0.043,0.812,600,False,350,204,117,0.7514285714285714,0.5735294117647058,9.0,2.0,0,0,2.0
SIMPLE,8,inputs/SIMPLE/RG1.spectra,263,-1,0.045,0.975,600,False,350,204,117,0.7514285714285714,0.5735294117647058,9.0,2.0,0,0,2.0
SIMPLE,9,inputs/SIMPLE/RG1.spectra,263,-1,0.044,0.841,600,False,350,204,117,0.7514285714285714,0.5735294117647058,9.0,2.0,0,0,2.0
SIMPLE,10,inputs/SIMPLE/RG1.spectra,263,-1,0.051,0.836,600,False,350,204,117,0.7514285714285714,0.5735294117647058,9.0,2.0,0,0,2.0
SIMPLE,1,inputs/SIMPLE/RG2.spectra,15,-1,0.038,0.054,600,False,23,20,12,0.6521739130434783,0.6,9.0,3.0,0,0,2.0
SIMPLE,2,inputs/SIMPLE/RG2.spectra,15,-1,0.041,0.056,600,False,23,20,12,0.6521739130434783,0.6,9.0,3.0,0,0,2.0
SIMPLE,3,inputs/SIMPLE/RG2.spectra,15,-1,0.045,0.06,600,False,23,20,12,0.6521739130434783,0.6,9.0,3.0,0,0,2.0
SIMPLE,4,inputs/SIMPLE/RG2.spectra,15,-1,0.048,0.071,600,False,23,20,12,0.6521739130434783,0.6,9.0,3.0,0,0,2.0
SIMPLE,5,inputs/SIMPLE/RG2.spectra,15,-1,0.046,0.068,600,False,23,20,12,0.6521739130434783,0.6,9.0,3.0,0,0,2.0
SIMPLE,6,inputs/SIMPLE/RG2.spectra,15,-1,0.042,0.064,600,False,23,20,12,0.6521739130434783,0.6,9.0,3.0,0,0,2.0
SIMPLE,7,inputs/SIMPLE/RG2.spectra,15,-1,0.053,0.076,600,False,23,20,12,0.6521739130434783,0.6,9.0,3.0,0,0,2.0
SIMPLE,8,inputs/SIMPLE/RG2.spectra,15,-1,0.055,0.077,600,False,23,20,12,0.6521739130434783,0.6,9.0,3.0,0,0,2.0
SIMPLE,9,inputs/SIMPLE/RG2.spectra,15,-1,0.053,0.075,600,False,23,20,12,0.6521739130434783,0.6,9.0,3.0,0,0,2.0
SIMPLE,10,inputs/SIMPLE/RG2.spectra,15,-1,0.057,0.084,600,False,23,20,12,0.6521739130434783,0.6,9.0,3.0,0,0,2.0
SYNTECH15-1UNREAL,1,inputs/SYNTECH15-1UNREAL/ColorSortLTL2TAG_789_ColorSort_1.spectra,0,-1,-0.001,660.004,600,True,155,155,0,0.0,0.0,,,0,0,
SYNTECH15-1UNREAL,2,inputs/SYNTECH15-1UNREAL/ColorSortLTL2TAG_789_ColorSort_1.spectra,0,-1,-0.001,660.002,600,True,126,126,0,0.0,0.0,,,0,0,
SYNTECH15-1UNREAL,3,inputs/SYNTECH15-1UNREAL/ColorSortLTL2TAG_789_ColorSort_1.spectra,0,-1,-0.001,660.005,600,True,144,144,0,0.0,0.0,,,0,0,
SYNTECH15-1UNREAL,4,inputs/SYNTECH15-1UNREAL/ColorSortLTL2TAG_789_ColorSort_1.spectra,0,-1,-0.001,660.006,600,True,130,129,0,0.0,0.0,,,0,0,
SYNTECH15-1UNREAL,5,inputs/SYNTECH15-1UNREAL/ColorSortLTL2TAG_789_ColorSort_1.spectra,0,-1,-0.001,660.006,600,True,125,125,0,0.0,0.0,,,0,0,
SYNTECH15-1UNREAL,6,inputs/SYNTECH15-1UNREAL/ColorSortLTL2TAG_789_ColorSort_1.spectra,0,-1,-0.001,660.002,600,True,125,125,0,0.0,0.0,,,0,0,
SYNTECH15-1UNREAL,7,inputs/SYNTECH15-1UNREAL/ColorSortLTL2TAG_789_ColorSort_1.spectra,0,-1,-0.001,660.002,600,True,124,123,0,0.0,0.0,,,0,0,
