Id,UniqueRefinement,IsSolution
5ed90912-a8f3-4058-9515-8739c9224b70,['G(frontDistSense=CLEAR -> (backDistSense=CLEAR -> (isReady -> balancer=FWD)))'],True
2e0ebaf3-28c8-4698-9293-926dd0d3c4df,['G(frontDistSense=CLEAR -> (next(frontDistSense)=CLEAR -> (backDistSense=CLEAR -> (next(backDistSense)=CLEAR -> (!isReady -> (X(isReady) -> balancer!=STP)) & (isReady -> (X(isReady) -> balancer!=FWD)))) & (backDistSense=BLOCKED -> (next(backDistSense)=CLEAR -> (isReady -> (X(isReady) -> balancer!=FWD))))))'],True
8103ec76-7e29-48ea-9003-c8f4c7f39b11,['G(frontDistSense=CLEAR -> (next(frontDistSense)=CLEAR -> (backDistSense=CLEAR -> (isReady -> (X(isReady) -> balancer!=FWD)))))'],True
b55e9d14-af79-4ab5-b3b6-ea266a3fa00f,['G(frontDistSense=CLEAR -> (isReady -> balancer=FWD))'],True
944b8537-bea1-4a47-bbca-4471a3c72c8d,['G(frontDistSense=CLEAR -> (next(frontDistSense)=CLEAR -> (backDistSense=CLEAR -> (!isReady -> (X(isReady) -> balancer!=STP)) & (isReady -> (X(isReady) -> balancer!=FWD)))))'],True
57b8f72e-c77f-440c-902f-5fddd8e2f6e6,['G(F(frontDistSense=CLEAR -> (isReady -> balancer!=FWD)))'],True
2653bbcf-213b-49c2-af9d-82b02692d9dd,['G(frontDistSense=CLEAR -> (next(frontDistSense)=CLEAR -> (isReady -> (X(isReady) -> balancer!=FWD))))'],True
abb6337e-e58f-4796-bfdb-3a1cec19b9c8,['G(frontDistSense=CLEAR -> (isReady -> balancer=FWD))'],True
810c84b6-91d8-4482-8ef2-14b283976b49,['G(frontDistSense=CLEAR -> (next(frontDistSense)=CLEAR -> (backDistSense=CLEAR -> (!isReady -> (X(isReady) -> balancer!=STP)) & (isReady -> (X(isReady) -> balancer!=FWD)))))'],True
7010ee60-9d5c-467d-97cc-de49bd2d8436,['G(F(frontDistSense=CLEAR -> (isReady -> balancer!=FWD)))'],True
8b40d53d-5f8b-45d3-b1ae-60bb0e279e75,['G(frontDistSense=CLEAR -> (next(frontDistSense)=CLEAR -> (isReady -> (X(isReady) -> balancer!=FWD))))'],True
18dbb86c-ce92-49bb-9e9b-f29b256647f9,['G(frontDistSense=CLEAR -> (isReady -> balancer=FWD))'],True
8118cc37-e561-47c2-b5b2-7002c8725621,['G(F(frontDistSense=CLEAR -> (isReady -> balancer!=FWD)))'],True
91488e81-f889-4f13-99d0-4969b86de364,['G(frontDistSense=CLEAR -> (next(frontDistSense)=CLEAR -> (isReady -> (X(isReady) -> balancer!=FWD))))'],True
8b05f61e-48ab-4109-be6b-d3aff3568b5e,['G(frontDistSense=CLEAR -> (isReady -> balancer=FWD))'],True
