Id,UniqueRefinement,IsSolution
4ef0aa08-6967-488e-a5e2-6061f3c0203f,['G(F(obstacle=BLOCKED -> throttle=FWD))'],True
276ea893-a246-4799-8dfd-716507e668d4,['G(obstacle=BLOCKED -> (next(obstacle)=BLOCKED -> (next(sideSense)!={} &  throttle=FWD)))'],True
98d20f30-0ec3-4144-83e6-f01be8b92981,['G(obstacle=BLOCKED -> throttle!=FWD)'],True
0ac2ddff-222d-4a6e-b83f-173b1459fcac,"['G(obstacle=BLOCKED -> (next(obstacle)=BLOCKED -> (sideSense=CLEAR -> (next(sideSense)=CLEAR -> throttle=FWD) & (next(sideSense)=BLOCKED -> throttle=FWD)) & (sideSense=BLOCKED -> (next(sideSense)=CLEAR -> throttle=FWD) & (next(sideSense)=BLOCKED -> throttle=FWD))))', 'G(obstacle=BLOCKED -> (sideSense=CLEAR -> throttle!=FWD) & (sideSense=P_O -> throttle!=FWD))']",True
81745be2-d244-43b8-a9e6-c9c0bb281994,"['G(F(obstacle=BLOCKED -> (sideSense=P_O -> throttle=FWD)))', 'G(obstacle=BLOCKED -> (sideSense=CLEAR -> throttle!=FWD) & (sideSense=BLOCKED -> throttle!=FWD))']",True
db1ba52e-bce2-44ff-9eab-b3cc0b795787,"['G(obstacle=BLOCKED -> (sideSense=CLEAR -> throttle!=FWD) & (sideSense=BLOCKED -> throttle!=FWD))', 'G(obstacle=BLOCKED -> (next(obstacle)=BLOCKED -> (sideSense=P_O -> (next(sideSense)=P_O -> throttle=FWD))))']",True
a6a91954-10b3-40c6-8b7d-4bb702b189ef,"['G(obstacle=BLOCKED -> (sideSense=CLEAR -> throttle!=FWD) & (sideSense=BLOCKED -> throttle!=FWD))', 'G(obstacle=BLOCKED -> (sideSense=P_O -> throttle!=FWD))']",True
b34340b8-c192-4573-809f-cc0c7ed1ab85,"['G(F(obstacle=BLOCKED -> (sideSense=CLEAR -> throttle=FWD) & (sideSense=BLOCKED -> throttle=FWD)))', 'G(obstacle=BLOCKED -> (sideSense=CLEAR -> throttle!=FWD) & (sideSense=P_O -> throttle!=FWD))']",True
762d0c15-dcad-4248-88e2-15c3d133f74d,"['G(obstacle=BLOCKED -> (next(obstacle)=BLOCKED -> (sideSense=CLEAR -> (next(sideSense)=CLEAR -> throttle=FWD) & (next(sideSense)=BLOCKED -> throttle=FWD)) & (sideSense=BLOCKED -> (next(sideSense)=CLEAR -> throttle=FWD) & (next(sideSense)=BLOCKED -> throttle=FWD))))', 'G(obstacle=BLOCKED -> (sideSense=CLEAR -> throttle!=FWD) & (sideSense=P_O -> throttle!=FWD))']",True
9407f33f-70a2-42f9-b330-7c2b64e809aa,"['G(F(obstacle=BLOCKED -> (sideSense=P_O -> throttle=FWD)))', 'G(obstacle=BLOCKED -> (sideSense=CLEAR -> throttle!=FWD) & (sideSense=BLOCKED -> throttle!=FWD))']",True
