Id,UniqueRefinement,IsSolution
86ed070a-c819-407c-b114-535ea54ac26c,['G(frontDistSense=CLEAR -> (backDistSense=CLEAR -> (isReady -> balancer=FWD)))'],True
06a3be09-c26f-4e9e-8430-f5bc503b1104,['G(frontDistSense=CLEAR -> (next(frontDistSense)=CLEAR -> (backDistSense=CLEAR -> (next(backDistSense)=CLEAR -> (!isReady -> (X(isReady) -> balancer!=STP)) & (isReady -> (X(isReady) -> balancer!=FWD)))) & (backDistSense=BLOCKED -> (next(backDistSense)=CLEAR -> (isReady -> (X(isReady) -> balancer!=FWD))))))'],True
09a25d86-6037-4f20-b576-8ad388a3598e,['G(frontDistSense=CLEAR -> (next(frontDistSense)=CLEAR -> (backDistSense=CLEAR -> (isReady -> (X(isReady) -> balancer!=FWD)))))'],True
2085405c-1aa0-4b1d-a669-4d8dee262eeb,['G(frontDistSense=CLEAR -> (isReady -> balancer=FWD))'],True
4b0e33f8-3afb-4023-8fb3-0b01c9b7305e,['G(frontDistSense=CLEAR -> (next(frontDistSense)=CLEAR -> (backDistSense=CLEAR -> (!isReady -> (X(isReady) -> balancer!=STP)) & (isReady -> (X(isReady) -> balancer!=FWD)))))'],True
9e45b078-5f5b-451b-8c94-d952114be8e6,['G(F(frontDistSense=CLEAR -> (isReady -> balancer!=FWD)))'],True
ba836171-7dd3-4287-b39a-e376daff4b92,['G(frontDistSense=CLEAR -> (next(frontDistSense)=CLEAR -> (isReady -> (X(isReady) -> balancer!=FWD))))'],True
c204d780-2f14-4eb0-a325-88c7071031c7,['G(frontDistSense=CLEAR -> (isReady -> balancer=FWD))'],True
cbd00645-dee7-49fd-b4d2-b5abc6227069,['G(frontDistSense=CLEAR -> (next(frontDistSense)=CLEAR -> (backDistSense=CLEAR -> (!isReady -> (X(isReady) -> balancer!=STP)) & (isReady -> (X(isReady) -> balancer!=FWD)))))'],True
c69debe5-82e6-44db-8afa-4df6b5f5820a,['G(F(frontDistSense=CLEAR -> (isReady -> balancer!=FWD)))'],True
1dda4411-bc27-44e3-a919-92db5b3de40a,['G(frontDistSense=CLEAR -> (next(frontDistSense)=CLEAR -> (isReady -> (X(isReady) -> balancer!=FWD))))'],True
d16638ed-929d-4e2f-87de-3b4635d2da70,['G(frontDistSense=CLEAR -> (isReady -> balancer=FWD))'],True
a8aeafe7-e9d1-491b-bc75-5c2a6053f5c6,['G(F(frontDistSense=CLEAR -> (isReady -> balancer!=FWD)))'],True
be95f1c2-4191-49d4-a929-b2598e852b74,['G(frontDistSense=CLEAR -> (next(frontDistSense)=CLEAR -> (isReady -> (X(isReady) -> balancer!=FWD))))'],True
2264b935-bfd7-4e72-ae91-4594b2c43cbd,['G(frontDistSense=CLEAR -> (isReady -> balancer=FWD))'],True
