Id,UniqueRefinement,NumVariables
b2857c34-b52a-4ffe-a349-c38d2c65742f,"['G(F(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded))))))', 'G(!frontDistSense_0 -> (backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",6
e4eecd41-429e-417a-9f7e-f9af01145abb,"['G(F(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded))))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (!eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",6
9eb31191-62b1-4831-8cad-61edac72d9fd,"['G(!frontDistSense_0 -> (backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",6
cbb1b0cd-54ce-4b26-9a7b-73a5a51aa4e7,"['G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (!eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",6
4951ee97-7e36-4473-8bde-cd4de7580672,"['G(!frontDistSense_0 -> (backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",6
4630ebae-c5be-454b-9eac-c360a854fb5b,"['G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (!eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",6
f805b113-113f-4b8c-8e89-bf9c667102a8,"['G(!frontDistSense_0 -> (X(!(frontDistSense_0)) -> (!backDistSense_0 -> (X(backDistSense_0) -> (isReady -> (X(isReady) -> (eNV_CONSTRAINT_0_respondsTo_responded -> (X(eNV_CONSTRAINT_0_respondsTo_responded) -> (!eNV_CONSTRAINT_1_respondsTo_responded -> (X(eNV_CONSTRAINT_1_respondsTo_responded) -> (eNV_CONSTRAINT_2_respondsTo_responded -> X(!(eNV_CONSTRAINT_2_respondsTo_responded)))))))))))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",7
64408340-cf7a-4ab5-a5d8-03a75d907708,"['G(!frontDistSense_0 -> (X(!(frontDistSense_0)) -> (!backDistSense_0 -> (X(backDistSense_0) -> (isReady -> (X(isReady) -> (eNV_CONSTRAINT_0_respondsTo_responded -> (X(eNV_CONSTRAINT_0_respondsTo_responded) -> (!eNV_CONSTRAINT_1_respondsTo_responded -> (X(eNV_CONSTRAINT_1_respondsTo_responded) -> (eNV_CONSTRAINT_2_respondsTo_responded -> X(!(eNV_CONSTRAINT_2_respondsTo_responded)))))))))))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",7
cd62ed72-b626-4f24-a332-43a0dc8ed413,"['G(!frontDistSense_0 -> (backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",6
17a0a263-51d3-4537-8eaf-71a704aa1957,"['G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (!eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",6
a25bfc4c-7ff7-44c9-a599-3c2292164a38,"['G(!frontDistSense_0 -> (backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",6
e78b124d-e827-412a-b7dc-b7dc7f05a358,"['G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (!eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",6
3554d181-d76a-4c40-b124-0afb9177c34d,"['G(!frontDistSense_0 -> (X(!(frontDistSense_0)) -> (!backDistSense_0 -> (X(backDistSense_0) -> (isReady -> (X(isReady) -> (eNV_CONSTRAINT_0_respondsTo_responded -> (X(eNV_CONSTRAINT_0_respondsTo_responded) -> (!eNV_CONSTRAINT_1_respondsTo_responded -> (X(eNV_CONSTRAINT_1_respondsTo_responded) -> (eNV_CONSTRAINT_2_respondsTo_responded -> X(!(eNV_CONSTRAINT_2_respondsTo_responded)))))))))))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",7
1888493c-5b3c-4604-a99f-b21ca6e436bd,"['G(!frontDistSense_0 -> (X(!(frontDistSense_0)) -> (!backDistSense_0 -> (X(backDistSense_0) -> (isReady -> (X(isReady) -> (eNV_CONSTRAINT_0_respondsTo_responded -> (X(eNV_CONSTRAINT_0_respondsTo_responded) -> (!eNV_CONSTRAINT_1_respondsTo_responded -> (X(eNV_CONSTRAINT_1_respondsTo_responded) -> (eNV_CONSTRAINT_2_respondsTo_responded -> X(!(eNV_CONSTRAINT_2_respondsTo_responded)))))))))))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",7
d78779b0-80e6-421f-ae0d-46733bc97bf0,"['G(!frontDistSense_0 -> (backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",6
b0cd9695-5eda-428c-b6b3-26b3f2481f41,"['G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (!eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",6
0eccde55-4504-4044-8ccf-f86f6632d55f,"['G(!frontDistSense_0 -> (backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",6
8a707684-1696-43a2-b93e-a7f3c355dccb,"['G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (!eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))', 'G(!frontDistSense_0 -> (!backDistSense_0 -> (isReady -> (eNV_CONSTRAINT_0_respondsTo_responded -> (eNV_CONSTRAINT_1_respondsTo_responded -> !eNV_CONSTRAINT_2_respondsTo_responded)))))']",6
