Specification,NumRepairs,MinNumVariables,Repaired
ColorSortLTL2TAG_789_ColorSort_1,1,11,True
ColorSortLTL2TAG_789_ColorSort_2,1,13,True
ColorSortLTL2TAG_789_ColorSort_3,1,13,True
ColorSortLTL2_621_ColorSort_fixed_1,0,0,False
ColorSortLTL2_794_ColorSort_fixed_1,0,0,False
ColorSortLTL3TAG_787_ColorSort_1,1,11,True
ColorSortLTL3TAG_787_ColorSort_2,1,13,True
ColorSortLTL3TAG_787_ColorSort_3,1,13,True
ColorSortLTL3_621_ColorSort_fixed_1,0,0,False
ColorSortLTL3_646_ColorSort_fixed_1,0,0,False
ColorSortLTL3_662_ColorSort_fixed_1,1,12,True
ColorSortLTL3_674_ColorSort_fixed_1,1,2,True
ColorSortLTL3_674_ColorSort_fixed_2,1,2,True
ColorSortLTL3_675_ColorSort_fixed_1,0,0,False
ColorSortLTL3_675_ColorSort_fixed_2,0,0,False
ColorSortLTL3_678_ColorSort_fixed_1,0,0,False
ColorSortLTL3_678_ColorSort_fixed_2,0,0,False
ColorSortLTL3_679_ColorSort_fixed_1,0,0,False
ColorSortLTL3_679_ColorSort_fixed_2,0,0,False
ColorSortLTL3_681_ColorSort_fixed_1,0,0,False
ColorSortLTL3_681_ColorSort_fixed_2,0,0,False
ColorSortLTL3_682_ColorSort_fixed_1,0,0,False
ColorSortLTL3_682_ColorSort_fixed_2,0,0,False
ColorSortLTL3_682_ColorSort_fixed_3,1,25,True
ColorSortLTL3_687_ColorSort_fixed_1,0,0,False
ColorSortLTL3_687_ColorSort_fixed_2,0,0,False
ColorSortLTL3_687_ColorSort_fixed_3,1,22,True
ColorSortLTL3_687_ColorSort_fixed_4,1,25,True
ColorSortLTL3_688_ColorSort_fixed_1,1,25,True
ColorSortLTL3_688_ColorSort_fixed_2,0,0,False
ColorSortLTL3_688_ColorSort_fixed_3,0,0,False
ColorSortLTL3_688_ColorSort_fixed_4,1,25,True
ColorSortLTL3_688_ColorSort_fixed_5,0,0,False
ColorSortLTL3_688_ColorSort_fixed_6,1,22,True
ColorSortLTL3_688_ColorSort_fixed_7,1,25,True
ColorSortLTLTAG_788_ColorSort_1,1,11,True
ColorSortLTLTAG_788_ColorSort_2,1,13,True
ColorSortLTLTAG_788_ColorSort_3,1,13,True
ColorSortLTLTAG_792_ColorSort_1,1,11,True
ColorSortLTLTAG_792_ColorSort_2,1,13,True
ColorSortLTLTAG_792_ColorSort_3,1,13,True
GyroLTLVar2_701_GyroAspect_fixed_1,1,11,True
GyroLTLVar2_701_GyroAspect_fixed_2,1,13,True
GyroLTLVar2_701_GyroAspect_fixed_3,1,13,True
GyroLTLVar3_702_GyroAspect_1,1,7,True
GyroLTLVar3_702_GyroAspect_2,1,4,True
GyroLTLVar3_702_GyroAspect_3,1,3,True
GyroLTLVar3_702_GyroAspect_4,1,3,True
GyroLTLVar3_702_GyroAspect_5,1,3,True
GyroLTL_390_GyroAspect_1,1,3,True
GyroLTL_390_GyroAspect_2,1,4,True
GyroLTL_390_GyroAspect_3,1,3,True
GyroLTL_390_GyroAspect_4,1,3,True
GyroLTL_486_GyroAspect_1,1,6,True
GyroLTL_486_GyroAspect_2,1,7,True
GyroLTL_486_GyroAspect_3,1,6,True
GyroLTL_486_GyroAspect_4,1,6,True
GyroLTL_588_GyroAspect_1,1,6,True
GyroLTL_588_GyroAspect_2,1,7,True
GyroLTL_588_GyroAspect_3,1,6,True
GyroLTL_588_GyroAspect_4,1,7,True
GyroLTL_590_GyroAspect_1,1,7,True
GyroLTL_590_GyroAspect_2,1,7,True
GyroLTL_590_GyroAspect_3,1,7,True
GyroLTL_590_GyroAspect_4,1,7,True
GyroLTL_590_GyroAspect_5,1,7,True
GyroLTL_595_GyroAspect_fixed_1,1,6,True
GyroLTL_595_GyroAspect_fixed_2,1,7,True
GyroLTL_595_GyroAspect_fixed_3,1,9,True
GyroLTL_595_GyroAspect_fixed_4,1,9,True
GyroLTL_637_GyroAspect_fixed_1,1,7,True
GyroLTL_637_GyroAspect_fixed_2,1,9,True
GyroLTL_637_GyroAspect_fixed_3,1,9,True
GyroLTL_700_GyroAspect_fixed_1,1,7,True
GyroLTL_700_GyroAspect_fixed_2,1,9,True
GyroLTL_700_GyroAspect_fixed_3,1,9,True
HumanoidLTLVar3_872_Humanoid_1,1,11,True
