Specification,NumRepairs,MinNumVariables,Repaired
ColorSortLTL2TAG_789_ColorSort_1,2,1.0,True
ColorSortLTL2TAG_789_ColorSort_2,2,1.0,True
ColorSortLTL2TAG_789_ColorSort_3,2,1.0,True
ColorSortLTL2_621_ColorSort_fixed_1,0,,False
ColorSortLTL2_794_ColorSort_fixed_1,0,,False
ColorSortLTL3TAG_787_ColorSort_1,2,1.0,True
ColorSortLTL3TAG_787_ColorSort_2,18,2.0,True
ColorSortLTL3TAG_787_ColorSort_3,2,1.0,True
ColorSortLTL3_621_ColorSort_fixed_1,0,,False
ColorSortLTL3_646_ColorSort_fixed_1,0,,False
ColorSortLTL3_662_ColorSort_fixed_1,97,4.0,True
ColorSortLTL3_674_ColorSort_fixed_1,0,,False
ColorSortLTL3_674_ColorSort_fixed_2,0,,False
ColorSortLTL3_675_ColorSort_fixed_1,0,,False
ColorSortLTL3_675_ColorSort_fixed_2,0,,False
ColorSortLTL3_678_ColorSort_fixed_1,0,,False
ColorSortLTL3_678_ColorSort_fixed_2,0,,False
ColorSortLTL3_679_ColorSort_fixed_1,0,,False
ColorSortLTL3_679_ColorSort_fixed_2,0,,False
ColorSortLTL3_681_ColorSort_fixed_1,0,,False
ColorSortLTL3_681_ColorSort_fixed_2,0,,False
ColorSortLTL3_682_ColorSort_fixed_1,0,,False
ColorSortLTL3_682_ColorSort_fixed_2,0,,False
ColorSortLTL3_682_ColorSort_fixed_3,0,,False
ColorSortLTL3_687_ColorSort_fixed_1,0,,False
ColorSortLTL3_687_ColorSort_fixed_2,0,,False
ColorSortLTL3_687_ColorSort_fixed_3,1,1.0,True
ColorSortLTL3_687_ColorSort_fixed_4,0,,False
ColorSortLTL3_688_ColorSort_fixed_1,0,,False
ColorSortLTL3_688_ColorSort_fixed_2,0,,False
ColorSortLTL3_688_ColorSort_fixed_3,0,,False
ColorSortLTL3_688_ColorSort_fixed_4,1,1.0,True
ColorSortLTL3_688_ColorSort_fixed_5,0,,False
ColorSortLTL3_688_ColorSort_fixed_6,1,1.0,True
ColorSortLTL3_688_ColorSort_fixed_7,0,,False
ColorSortLTLTAG_788_ColorSort_1,2,1.0,True
ColorSortLTLTAG_788_ColorSort_2,2,1.0,True
ColorSortLTLTAG_788_ColorSort_3,2,1.0,True
ColorSortLTLTAG_792_ColorSort_1,2,1.0,True
ColorSortLTLTAG_792_ColorSort_2,2,1.0,True
ColorSortLTLTAG_792_ColorSort_3,2,1.0,True
GyroLTLVar2_701_GyroAspect_fixed_1,0,,False
GyroLTLVar2_701_GyroAspect_fixed_2,0,,False
GyroLTLVar2_701_GyroAspect_fixed_3,0,,False
GyroLTLVar3_702_GyroAspect_1,1,2.0,True
GyroLTLVar3_702_GyroAspect_2,1,1.0,True
GyroLTLVar3_702_GyroAspect_3,0,,False
GyroLTLVar3_702_GyroAspect_4,1,2.0,True
GyroLTLVar3_702_GyroAspect_5,2,2.0,True
GyroLTL_390_GyroAspect_1,1,1.0,True
