Specification,NumRepairs,MinNumVariables,Repaired
ColorSortLTL2TAG_789_ColorSort_1,0,0.0,False
ColorSortLTL2TAG_789_ColorSort_2,0,0.0,False
ColorSortLTL2TAG_789_ColorSort_3,0,0.0,False
ColorSortLTL2_621_ColorSort_fixed_1,0,0.0,False
ColorSortLTL2_794_ColorSort_fixed_1,0,0.0,False
ColorSortLTL3TAG_787_ColorSort_1,0,0.0,False
ColorSortLTL3TAG_787_ColorSort_2,0,0.0,False
ColorSortLTL3TAG_787_ColorSort_3,0,0.0,False
ColorSortLTL3_621_ColorSort_fixed_1,0,0.0,False
ColorSortLTL3_646_ColorSort_fixed_1,0,0.0,False
ColorSortLTL3_662_ColorSort_fixed_1,0,0.0,False
ColorSortLTL3_674_ColorSort_fixed_1,0,0.0,False
ColorSortLTL3_674_ColorSort_fixed_2,0,0.0,False
ColorSortLTL3_675_ColorSort_fixed_1,0,0.0,False
ColorSortLTL3_675_ColorSort_fixed_2,0,0.0,False
ColorSortLTL3_678_ColorSort_fixed_1,0,0.0,False
ColorSortLTL3_678_ColorSort_fixed_2,0,0.0,False
ColorSortLTL3_679_ColorSort_fixed_1,0,0.0,False
ColorSortLTL3_679_ColorSort_fixed_2,0,0.0,False
ColorSortLTL3_681_ColorSort_fixed_1,0,0.0,False
ColorSortLTL3_681_ColorSort_fixed_2,0,0.0,False
ColorSortLTL3_682_ColorSort_fixed_1,0,0.0,False
ColorSortLTL3_682_ColorSort_fixed_2,0,0.0,False
ColorSortLTL3_682_ColorSort_fixed_3,0,0.0,False
ColorSortLTL3_687_ColorSort_fixed_1,0,0.0,False
ColorSortLTL3_687_ColorSort_fixed_2,0,0.0,False
ColorSortLTL3_687_ColorSort_fixed_3,0,0.0,False
ColorSortLTL3_687_ColorSort_fixed_4,0,0.0,False
ColorSortLTL3_688_ColorSort_fixed_1,0,0.0,False
ColorSortLTL3_688_ColorSort_fixed_2,0,0.0,False
ColorSortLTL3_688_ColorSort_fixed_3,0,0.0,False
ColorSortLTL3_688_ColorSort_fixed_4,0,0.0,False
ColorSortLTL3_688_ColorSort_fixed_5,0,0.0,False
ColorSortLTL3_688_ColorSort_fixed_6,0,0.0,False
ColorSortLTL3_688_ColorSort_fixed_7,0,0.0,False
ColorSortLTLTAG_788_ColorSort_1,0,0.0,False
ColorSortLTLTAG_788_ColorSort_2,0,0.0,False
ColorSortLTLTAG_788_ColorSort_3,0,0.0,False
ColorSortLTLTAG_792_ColorSort_1,0,0.0,False
ColorSortLTLTAG_792_ColorSort_2,0,0.0,False
ColorSortLTLTAG_792_ColorSort_3,0,0.0,False
GyroLTLVar2_701_GyroAspect_fixed_1,0,0.0,False
GyroLTLVar2_701_GyroAspect_fixed_2,0,0.0,False
GyroLTLVar2_701_GyroAspect_fixed_3,0,0.0,False
GyroLTLVar3_702_GyroAspect_1,0,0.0,False
GyroLTLVar3_702_GyroAspect_2,0,0.0,False
GyroLTLVar3_702_GyroAspect_3,0,0.0,False
GyroLTLVar3_702_GyroAspect_4,5,2.0,True
GyroLTLVar3_702_GyroAspect_5,3,2.0,True
GyroLTL_390_GyroAspect_1,4,2.0,True
GyroLTL_390_GyroAspect_2,1,5.0,True
GyroLTL_390_GyroAspect_3,9,2.0,True
GyroLTL_390_GyroAspect_4,0,0.0,False
GyroLTL_486_GyroAspect_1,9,2.0,True
GyroLTL_486_GyroAspect_2,1,8.0,True
GyroLTL_486_GyroAspect_3,9,2.0,True
GyroLTL_486_GyroAspect_4,0,0.0,False
GyroLTL_588_GyroAspect_1,26,2.0,True
GyroLTL_588_GyroAspect_2,0,0.0,False
GyroLTL_588_GyroAspect_3,7,11.0,True
GyroLTL_588_GyroAspect_4,0,0.0,False
GyroLTL_590_GyroAspect_1,4,9.0,True
GyroLTL_590_GyroAspect_2,0,0.0,False
GyroLTL_590_GyroAspect_3,0,0.0,False
GyroLTL_590_GyroAspect_4,0,0.0,False
GyroLTL_590_GyroAspect_5,4,9.0,True
GyroLTL_595_GyroAspect_fixed_1,0,0.0,False
GyroLTL_595_GyroAspect_fixed_2,0,0.0,False
GyroLTL_595_GyroAspect_fixed_3,0,0.0,False
GyroLTL_595_GyroAspect_fixed_4,4,3.0,True
GyroLTL_637_GyroAspect_fixed_1,0,0.0,False
GyroLTL_637_GyroAspect_fixed_2,0,0.0,False
GyroLTL_637_GyroAspect_fixed_3,1,14.0,True
GyroLTL_700_GyroAspect_fixed_1,0,0.0,False
GyroLTL_700_GyroAspect_fixed_2,0,0.0,False
GyroLTL_700_GyroAspect_fixed_3,1,14.0,True
HumanoidLTLVar3_872_Humanoid_1,0,0.0,False
