Specification,NumRepairs
ColorSortLTL3_689_ColorSort_fixed_unrealizable,0
ColorSortLTLUnrealizable1_790_ColorSort_unrealizable,0
ColorSortLTLUnrealizable2_791_ColorSort_unrealizable,0
GyroUnrealizable_Var1_710_GyroAspect_unrealizable,41
GyroUnrealizable_Var2_710_GyroAspect_unrealizable,6
HumanoidLTL_458_Humanoid_fixed_unrealizable,0
HumanoidLTL_503_Humanoid_fixed_unrealizable,0
HumanoidLTL_531_Humanoid_unrealizable,0
HumanoidLTL_713_Humanoid_unrealizable,0
HumanoidLTL_742_Humanoid_unrealizable,0
HumanoidLTL_NotRealizable2_879_Humanoid_unrealizable,0
HumanoidLTL_NotRealizable2_884_Humanoid_unrealizable,0
PCarLTL_Unrealizable_V_2_unrealizable0_888_PCar_fixed_unrealizable,0
