Specification,NumRepairs,MinNumVariables,Repaired
ColorSortLTL3_689_ColorSort_fixed_unrealizable,1,25,True
ColorSortLTLUnrealizable1_790_ColorSort_unrealizable,1,2,True
ColorSortLTLUnrealizable2_791_ColorSort_unrealizable,0,0,False
GyroUnrealizable_Var1_710_GyroAspect_unrealizable,1,3,True
GyroUnrealizable_Var2_710_GyroAspect_unrealizable,1,3,True
HumanoidLTL_458_Humanoid_fixed_unrealizable,1,3,True
HumanoidLTL_503_Humanoid_fixed_unrealizable,1,3,True
HumanoidLTL_531_Humanoid_unrealizable,1,7,True
HumanoidLTL_713_Humanoid_unrealizable,1,11,True
HumanoidLTL_741_Humanoid_unrealizable,0,0,False
HumanoidLTL_742_Humanoid_unrealizable,1,15,True
HumanoidLTL_NotRealizable2_879_Humanoid_unrealizable,1,11,True
HumanoidLTL_NotRealizable2_884_Humanoid_unrealizable,1,12,True
PCarLTL_Unrealizable_V_2_unrealizable0_888_PCar_fixed_unrealizable,1,13,True
