Id;UniqueRefinement;NumVariables;Timestamp;Length;Parent;NumChildren;IsRealizable;IsSatisfiable;IsSolution;TimeRealizabilityCheck;TimeSatisfiabilityCheck;TimeCounterstrategy;CounterstrategyNumStates;TimeRefine;TimeGenerationMethod
84a9d075-b2be-4555-9619-401f3663fbd2;[];0;0.005550407979171723;0;N/A;2;False;N/A;False;9.53999273199588;N/A;10.06964144599624;1;0.0001747049973346293;7.30989163502818;
6c531d52-d8e2-41f1-a0f8-2ff2b8f4019b;['G(!(heading_2 & button_0))'];3;26.939558614976704;1;84a9d075-b2be-4555-9619-401f3663fbd2;2;False;N/A;False;8.11126337503083;N/A;7.355335148982704;1;0.00010109203867614269;5.247372078010812;
0d1b9d36-b996-4771-af6f-cd076c7823ff;['!(heading_2 & button_0)'];2;26.939583647996187;1;84a9d075-b2be-4555-9619-401f3663fbd2;2;False;N/A;False;7.385129854956176;N/A;6.116988346038852;1;9.260600199922919e-05;5.543427773984149;
61a4a79a-c4fc-4261-856e-c16b3da93759;['!(heading_1 & button_0)', 'G(!(heading_2 & button_0))'];5;47.68064554198645;2;6c531d52-d8e2-41f1-a0f8-2ff2b8f4019b;2;False;N/A;False;5.210309756977949;N/A;5.492263106978498;1;9.8452961537987e-05;4.124474789015949;
ee0297a4-e208-4203-bcf6-1fcb2034f4f9;['G(!(heading_1 & button_0))', 'G(!(heading_2 & button_0))'];6;47.68067475000862;2;6c531d52-d8e2-41f1-a0f8-2ff2b8f4019b;2;False;N/A;False;3.963503699982539;N/A;4.157727241050452;1;9.385898010805249e-05;3.219942727009766;
71089e87-2e31-4a2f-844c-cafd9f0c4be2;['!(heading_1 & button_0)', '!(heading_2 & button_0)'];4;66.76817652396858;2;0d1b9d36-b996-4771-af6f-cd076c7823ff;2;False;N/A;False;3.9644165909849107;N/A;3.8682124860351905;1;8.062896085903049e-05;3.2004737419774756;
a53e35a7-8792-4f70-a9ba-e53769bdff8e;['!(heading_2 & button_0)', 'G(!(heading_1 & button_0))'];5;66.7682021340006;2;0d1b9d36-b996-4771-af6f-cd076c7823ff;2;False;N/A;False;3.2851327270036563;N/A;3.0807281130109914;1;9.707198478281498e-05;3.023114089970477;
ee647dd0-3719-4a84-9035-fd3229e0ffc1;['!(heading_1 & button_0)', 'G(!(button_0 & heading_0))', 'G(!(heading_2 & button_0))'];8;81.62121295701945;3;61a4a79a-c4fc-4261-856e-c16b3da93759;0;True;True;True;3.4195828360388987;3.657249601033982;N/A;N/A;N/A;N/A;
9061eff8-0cf0-4c3e-9e40-405dbc7bba88;['!(button_0 & heading_0)', '!(heading_1 & button_0)', 'G(!(heading_2 & button_0))'];7;81.62124285800382;3;61a4a79a-c4fc-4261-856e-c16b3da93759;0;True;True;True;2.930310558003839;3.203941336949356;N/A;N/A;N/A;N/A;
cefd5fcb-bd98-4fa3-8619-1d45e63d42e7;['G(!(button_0 & heading_0))', 'G(!(heading_1 & button_0))', 'G(!(heading_2 & button_0))'];9;92.9941148670041;3;ee0297a4-e208-4203-bcf6-1fcb2034f4f9;0;True;True;True;2.899148194992449;3.2415665370062925;N/A;N/A;N/A;N/A;
915bf7a6-d921-4768-81bc-d9159a44598b;['!(button_0 & heading_0)', 'G(!(heading_1 & button_0))', 'G(!(heading_2 & button_0))'];8;92.99414183298359;3;ee0297a4-e208-4203-bcf6-1fcb2034f4f9;0;True;True;True;2.207173800037708;2.51561992400093;N/A;N/A;N/A;N/A;
0168f000-7174-4f9c-ad39-412fcbfb6600;['!(heading_1 & button_0)', '!(heading_2 & button_0)', 'G(!(button_0 & heading_0))'];7;104.03856729099061;3;71089e87-2e31-4a2f-844c-cafd9f0c4be2;0;True;True;True;2.2110424330458045;2.430402709986083;N/A;N/A;N/A;N/A;
1c45b793-e831-42f5-aabe-3f9553398608;['!(button_0 & heading_0)', '!(heading_1 & button_0)', '!(heading_2 & button_0)'];6;104.03859475697391;3;71089e87-2e31-4a2f-844c-cafd9f0c4be2;0;True;True;True;2.390704394027125;2.5644008989911526;N/A;N/A;N/A;N/A;
238cb202-1371-4ce9-bdf4-06ef68a2b58b;['!(heading_2 & button_0)', 'G(!(button_0 & heading_0))', 'G(!(heading_1 & button_0))'];8;113.43639572500251;3;a53e35a7-8792-4f70-a9ba-e53769bdff8e;0;True;True;True;2.1496905839885585;2.1399151670048013;N/A;N/A;N/A;N/A;
7dd064f5-d177-4e2c-9864-a11441d7090a;['!(button_0 & heading_0)', '!(heading_2 & button_0)', 'G(!(heading_1 & button_0))'];7;113.43642352201277;3;a53e35a7-8792-4f70-a9ba-e53769bdff8e;0;True;True;True;2.085105927020777;2.1723680730210617;N/A;N/A;N/A;N/A;
