Id;UniqueRefinement;NumVariables;Timestamp;Length;Parent;NumChildren;IsRealizable;IsSatisfiable;IsSolution;TimeRealizabilityCheck;TimeSatisfiabilityCheck;TimeCounterstrategy;CounterstrategyNumStates;TimeRefine;TimeGenerationMethod
5cb9c798-b510-4f69-9bb0-453bb872ac82;[];0;0.016261704033240676;0;N/A;2;False;N/A;False;9.175425760040525;N/A;7.820579044986516;1;0.00019485200755298138;5.844737668987364;
fa86dffb-f592-401c-bc1f-f7fdf0d9f141;['!(button_0 & heading_2)'];2;22.898351098992862;1;5cb9c798-b510-4f69-9bb0-453bb872ac82;2;False;N/A;False;6.027123529987875;N/A;5.509663092030678;1;9.320699609816074e-05;5.179217370983679;
2afec463-0bf9-4911-a216-192d8d8c1fba;['G(!(button_0 & heading_2))'];3;22.898380278027616;1;5cb9c798-b510-4f69-9bb0-453bb872ac82;2;False;N/A;False;5.2574929460533895;N/A;5.125687241030391;1;9.068899089470506e-05;3.6219686279655434;
1ec78b17-f7d0-4f89-9c17-7779fd6aebf0;['!(button_0 & heading_1)', '!(button_0 & heading_2)'];4;39.63502941199113;2;fa86dffb-f592-401c-bc1f-f7fdf0d9f141;0;False;N/A;False;4.050519387004897;N/A;3.8118700520135462;1;N/A;N/A;
e9f32c37-ebbb-4372-9974-d8243f7a0ebb;['!(button_0 & heading_2)', 'G(!(button_0 & heading_1))'];5;39.63505826500477;2;fa86dffb-f592-401c-bc1f-f7fdf0d9f141;2;False;N/A;False;2.7824326229747385;N/A;2.6216219950001687;1;9.592302376404405e-05;2.6644806819967926;
194f0930-96d9-4af4-900a-d20f0adf38f8;['!(button_0 & heading_1)', 'G(!(button_0 & heading_2))'];5;53.66002770798514;2;2afec463-0bf9-4911-a216-192d8d8c1fba;2;False;N/A;False;2.262809108942747;N/A;2.4248286599759012;1;9.404600132256746e-05;1.7282766139833257;
3412f9c1-3203-4757-8937-05bc110ca0ac;['G(!(button_0 & heading_1))', 'G(!(button_0 & heading_2))'];6;53.66005555703305;2;2afec463-0bf9-4911-a216-192d8d8c1fba;2;False;N/A;False;2.02325742400717;N/A;2.286724897043314;1;9.567599045112729e-05;2.348549966001883;
6a9df5cf-9b99-4189-8cf1-b8b4e91a9f9e;['!(button_0 & heading_2)', 'G(!(button_0 & heading_1))', 'G(!(heading_0 & button_0))'];8;72.8515277649858;3;e9f32c37-ebbb-4372-9974-d8243f7a0ebb;0;True;True;True;2.359927217999939;2.350669038016349;N/A;N/A;N/A;N/A;
07d3652e-db9a-44ca-9b02-cea4490cf63b;['!(button_0 & heading_2)', '!(heading_0 & button_0)', 'G(!(button_0 & heading_1))'];7;72.85155952902278;3;e9f32c37-ebbb-4372-9974-d8243f7a0ebb;0;True;True;True;2.59628097404493;2.6709121390013024;N/A;N/A;N/A;N/A;
9886de60-2b42-4d6e-9202-415e86743c5e;['!(button_0 & heading_1)', 'G(!(button_0 & heading_2))', 'G(!(heading_0 & button_0))'];8;79.28078110102797;3;194f0930-96d9-4af4-900a-d20f0adf38f8;0;True;True;True;2.3291105329990387;2.623824735987;N/A;N/A;N/A;N/A;
e132f15b-cd73-4d0d-bb4f-d8ce95e4a2ff;['!(button_0 & heading_1)', '!(heading_0 & button_0)', 'G(!(button_0 & heading_2))'];7;79.28081194299739;3;194f0930-96d9-4af4-900a-d20f0adf38f8;0;True;True;True;2.2490145660121925;2.355506304942537;N/A;N/A;N/A;N/A;
a7ae972f-5d7f-4b41-a567-04387ab631ad;['G(!(button_0 & heading_1))', 'G(!(button_0 & heading_2))', 'G(!(heading_0 & button_0))'];9;85.9528777480009;3;3412f9c1-3203-4757-8937-05bc110ca0ac;0;True;True;True;2.1260227740276605;2.0790296850027516;N/A;N/A;N/A;N/A;
23dc3258-4a7a-470b-adbc-8fde97cba246;['!(heading_0 & button_0)', 'G(!(button_0 & heading_1))', 'G(!(button_0 & heading_2))'];8;85.95291446399642;3;3412f9c1-3203-4757-8937-05bc110ca0ac;0;True;True;True;2.158030158956535;2.29250713204965;N/A;N/A;N/A;N/A;
