Id;UniqueRefinement;NumVariables;Timestamp;Length;Parent;NumChildren;IsRealizable;IsSatisfiable;IsSolution;TimeRealizabilityCheck;TimeSatisfiabilityCheck;TimeCounterstrategy;CounterstrategyNumStates;TimeRefine;TimeGenerationMethod
0f544b78-d2a5-44e4-836d-05c97ae302f4;[];0;0.008406789973378181;0;N/A;2;False;N/A;False;8.479536197031848;N/A;9.669177120027598;1;0.00019602105021476746;5.838194678013679;
92f91d54-affe-4fd7-8660-681ec269dab8;['!(button_0 & heading_2)'];2;24.02915725298226;1;0f544b78-d2a5-44e4-836d-05c97ae302f4;2;False;N/A;False;5.299409450031817;N/A;5.234941854025237;1;0.00010287499753758311;4.981895858014468;
b52e2843-621d-4c8b-8013-88cb58be937f;['G(!(button_0 & heading_2))'];3;24.029187285981607;1;0f544b78-d2a5-44e4-836d-05c97ae302f4;2;False;N/A;False;3.8143398219835944;N/A;3.558327717008069;1;6.925396155565977e-05;2.454785024980083;
ea2b2e8a-511e-4661-b56f-2de31e103f27;['!(button_0 & heading_2)', 'G(!(button_0 & heading_1))'];5;39.582496024959255;2;92f91d54-affe-4fd7-8660-681ec269dab8;2;False;N/A;False;2.8133023850386962;N/A;3.0400469839805737;1;9.70310065895319e-05;2.463646626973059;
90750b80-a9ea-481c-b340-425e9d7f3e69;['!(button_0 & heading_1)', '!(button_0 & heading_2)'];4;39.58252541098045;2;92f91d54-affe-4fd7-8660-681ec269dab8;2;False;N/A;False;2.758962049963884;N/A;2.884118772984948;1;9.935401612892747e-05;2.451402959006373;
5a1f0a75-02f6-4ae4-937d-6a08922d1114;['G(!(button_0 & heading_1))', 'G(!(button_0 & heading_2))'];6;49.41915175196482;2;b52e2843-621d-4c8b-8013-88cb58be937f;2;False;N/A;False;2.60933331400156;N/A;2.816319866979029;1;6.650597788393497e-05;2.399386810953729;
116d2118-ebbc-4e9d-bd3d-c2aa34e5ee25;['!(button_0 & heading_1)', 'G(!(button_0 & heading_2))'];5;49.4191711259773;2;b52e2843-621d-4c8b-8013-88cb58be937f;2;False;N/A;False;2.691065399965737;N/A;2.8948974660015665;1;9.701697854325175e-05;2.569485143001657;
2b9c8112-715e-4127-89eb-7655361c12e5;['!(button_0 & heading_0)', '!(button_0 & heading_2)', 'G(!(button_0 & heading_1))'];7;57.75502321094973;3;ea2b2e8a-511e-4661-b56f-2de31e103f27;0;True;True;True;2.696749308030121;2.77064134698594;N/A;N/A;N/A;N/A;
a1a60dfb-582e-44af-84b2-4f9c4a11176f;['!(button_0 & heading_2)', 'G(!(button_0 & heading_0))', 'G(!(button_0 & heading_1))'];8;57.755054596986156;3;ea2b2e8a-511e-4661-b56f-2de31e103f27;0;True;True;True;2.9004749470041133;2.751987311989069;N/A;N/A;N/A;N/A;
1cb11f98-79ec-4f46-8b91-0c10244547a8;['!(button_0 & heading_0)', '!(button_0 & heading_1)', '!(button_0 & heading_2)'];6;65.8619283149601;3;90750b80-a9ea-481c-b340-425e9d7f3e69;0;True;True;True;2.723320523975417;2.6455388569738716;N/A;N/A;N/A;N/A;
bf7a4932-e01a-4480-a284-d3658221e0f2;['!(button_0 & heading_1)', '!(button_0 & heading_2)', 'G(!(button_0 & heading_0))'];7;65.86195995297749;3;90750b80-a9ea-481c-b340-425e9d7f3e69;0;True;True;True;2.802520248980727;2.6535005109617487;N/A;N/A;N/A;N/A;
3f5707a8-d011-4432-871b-cb354358dbde;['!(button_0 & heading_0)', 'G(!(button_0 & heading_1))', 'G(!(button_0 & heading_2))'];8;73.69889677496394;3;5a1f0a75-02f6-4ae4-937d-6a08922d1114;0;True;True;True;2.7642818620079197;2.891005794983357;N/A;N/A;N/A;N/A;
36642317-d2ef-4b8e-889e-ee7967452c7e;['G(!(button_0 & heading_0))', 'G(!(button_0 & heading_1))', 'G(!(button_0 & heading_2))'];9;73.69891897396883;3;5a1f0a75-02f6-4ae4-937d-6a08922d1114;0;True;True;True;2.98621419002302;2.627868053968996;N/A;N/A;N/A;N/A;
1181ff15-a20c-459f-b505-1854ef35d44b;['!(button_0 & heading_0)', '!(button_0 & heading_1)', 'G(!(button_0 & heading_2))'];7;81.8636020119884;3;116d2118-ebbc-4e9d-bd3d-c2aa34e5ee25;0;True;True;True;2.3340672529884614;2.4997174739837646;N/A;N/A;N/A;N/A;
d7a49b9e-5977-4b79-a950-8073c9bb526c;['!(button_0 & heading_1)', 'G(!(button_0 & heading_0))', 'G(!(button_0 & heading_2))'];8;81.86363298300421;3;116d2118-ebbc-4e9d-bd3d-c2aa34e5ee25;0;True;True;True;2.410651948011946;2.465897638001479;N/A;N/A;N/A;N/A;
