Specification,NumRepairs,MinNumVariables,Repaired
ColorSortLTL3_689_ColorSort_fixed_unrealizable,0,0,False
ColorSortLTLUnrealizable1_790_ColorSort_unrealizable,0,0,False
ColorSortLTLUnrealizable2_791_ColorSort_unrealizable,0,0,False
GyroUnrealizable_Var1_710_GyroAspect_unrealizable,2,6,True
GyroUnrealizable_Var2_710_GyroAspect_unrealizable,5,2,True
HumanoidLTL_458_Humanoid_fixed_unrealizable,0,0,False
HumanoidLTL_503_Humanoid_fixed_unrealizable,0,0,False
HumanoidLTL_531_Humanoid_unrealizable,654,1,True
HumanoidLTL_713_Humanoid_unrealizable,0,0,False
HumanoidLTL_741_Humanoid_unrealizable,0,0,False
HumanoidLTL_742_Humanoid_unrealizable,13,2,True
HumanoidLTL_NotRealizable2_879_Humanoid_unrealizable,0,0,False
HumanoidLTL_NotRealizable2_884_Humanoid_unrealizable,0,0,False
PCarLTL_Unrealizable_V_2_unrealizable0_888_PCar_fixed_unrealizable,2,15,True
